"code","iso","country","FSS.ind.1995","FSS.ind.1996","FSS.ind.1997","FSS.ind.1998","FSS.ind.1999","FSS.ind.2000","FSS.ind.2001","FSS.ind.2002","FSS.ind.2003","FSS.ind.2004","FSS.ind.2005","FSS.ind.2006","FSS.ind.2007","FSS.ind.2008","FSS.ind.2009","FSS.ind.2010","FSS.ind.2011","FSS.ind.2012","FSS.ind.2013","FSS.ind.2014","FSS.ind.2015","FSS.ind.2016","FSS.ind.2017","FSS.ind.2018","FSS.ind.2019","FSS.ind.2020","FSS.ind.2021","FSS.ind.2022"
36,"AUS","Australia",35.2561253192661,37.9389233176008,38.7856347276938,37.8432872309682,35.3490247097301,35.1714561375581,29.3847071025283,25.3897930051913,20.0692962931267,19.9605582367489,19.5624079443067,18.3608481409113,16.8040120533357,15.2259188569924,15.2929998984628,15.0686684623471,15.061297858753,12.7772049071449,11.6381544134601,11.1922306164584,13.5972534599915,15.2001890829629,16.478877549722,15.9826826747175,15.9826826747175,15.9826826747175,15.9826826747175,15.9826826747175
40,"AUT","Austria",-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777
31,"AZE","Azerbaijan",-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777
44,"BHS","Bahamas",43.9892152136398,70.2716317334542,67.4894938919694,65.6681057770961,61.2325213354674,60.2761262481508,45.5871004106673,48.7624270175178,50.8805151535821,68.5739558453758,65.9270690832126,37.2302343173548,28.9747365348414,21.5458297061236,28.4081994305823,28.6331406945169,29.2053216568535,27.7364112506069,26.2536662696794,24.4803674321205,19.1131151952774,18.9507478049725,17.9805299497936,21.1938045678401,21.1938045678401,21.1938045678401,21.1938045678401,21.1938045678401
48,"BHR","Bahrain",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
50,"BGD","Bangladesh",100,100,100,100,100,100,100,100,100,100,100,100,100,100,95.0626951184738,98.0221523899293,93.9779946440943,98.2336907591098,98.6627016567576,82.3201908065964,75.2399527041909,69.8353085011478,73.1505841624773,73.0793667193363,73.0793667193363,73.0793667193363,73.0793667193363,73.0793667193363
52,"BRB","Barbados",13.8780264328482,7.50759589882846,10.7824430366022,11.9005677958822,13.0915694435798,10.4029126087678,10.2085598826879,8.90096944773722,9.66215743516342,10.7163954139407,11.2646397745199,11.067674724814,9.78396997559939,9.16804911078528,8.56391939879279,9.28726321561103,8.2613577999028,8.75344191811675,10.6693345150616,10.608299103128,11.4098379047612,12.2001168948169,13.3014846687979,15.6823475557192,15.6823475557192,15.6823475557192,15.6823475557192,15.6823475557192
112,"BLR","Belarus",-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777
56,"BEL","Belgium",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
84,"BLZ","Belize",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
