"code","iso","country","WTL.ind.1995","WTL.ind.1996","WTL.ind.1997","WTL.ind.1998","WTL.ind.1999","WTL.ind.2000","WTL.ind.2001","WTL.ind.2002","WTL.ind.2003","WTL.ind.2004","WTL.ind.2005","WTL.ind.2006","WTL.ind.2007","WTL.ind.2008","WTL.ind.2009","WTL.ind.2010","WTL.ind.2011","WTL.ind.2012","WTL.ind.2013","WTL.ind.2014","WTL.ind.2015","WTL.ind.2016","WTL.ind.2017","WTL.ind.2018","WTL.ind.2019","WTL.ind.2020","WTL.ind.2021","WTL.ind.2022"
246,"FIN","Finland",24.3015978857554,24.3015978857554,24.3015978857554,24.3052347262779,16.1452720904388,17.1222711311244,13.280475495971,11.8052514512418,10.7412039401658,10.9234242405249,12.1374636014501,15.822160617763,15.4101578538915,15.007298894638,18.5385066192206,19.0165280754452,19.9342030172733,24.4500787333411,30.0845348998489,30.3521922457069,30.3521922457069,24.9787575002856,25.1403815748286,26.0778410157867,33.1676283408987,33.1676283408987,33.1676283408987,33.1676283408987
250,"FRA","France",62.2123644936872,62.2123644936872,62.2123644936872,62.2123644936872,100,55.6047752266625,55.6047752266625,45.2507787245949,40.9100568125655,40.9100568125655,43.35589978653,43.1037971408187,50.3788159075188,78.0046015226119,78.0046015226119,78.0046015226119,100,54.4041078432805,41.4139999911906,36.7173225190699,36.2512077864058,33.3137387716569,32.9028940742125,28.8452082621927,26.5243089051772,26.6945002355948,26.6945002355948,26.6945002355948
258,"PYF","French Polynesia",-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777
266,"GAB","Gabon",2.58812640381332,2.58812640381332,2.58812640381332,0.71395687748074,0.398435983308644,0.688294849366102,4.15225325270211,14.8265339508563,28.0350717588952,28.9068639782289,28.9068639782289,29.1373361195493,35.9260179554377,35.4715069511771,49.9458286513766,48.1668560798674,36.3976914472469,36.3976914472469,35.4636212840278,36.3953539370336,36.8974518564621,49.9365182998078,49.9365182998078,58.8271299168822,100,100,100,100
270,"GMB","Gambia",100,100,100,100,100,100,100,100,100,20.4513654678104,19.4719888130746,19.4719888130746,19.4719888130746,19.0165577253339,27.7833437654712,24.9651060529712,24.9651060529712,24.9651060529712,25.8176675243259,33.5383308491915,100,100,100,100,42.4980547246371,42.4980547246371,42.4980547246371,42.4980547246371
268,"GEO","Georgia",100,100,100,100,100,100,100,100,100,100,100,100,59.0155540757887,48.329028025863,48.329028025863,45.503471588646,45.503471588646,48.2975086008589,58.9220646527313,58.9220646527313,100,52.3084885955774,52.3084885955774,43.2959018100714,43.2959018100714,41.550023127521,41.550023127521,41.550023127521
276,"DEU","Germany",61.9725426085739,61.9725426085739,61.9725426085739,62.9686569334775,53.8526386286762,53.8526386286762,53.8526386286762,55.4079515884,55.8513903337136,100,100,100,100,100,100,100,69.4323698971634,49.7053648108174,44.0454898357798,32.8079035634612,32.7622603081566,22.5404767140728,22.9455001640947,23.4580190099182,26.1109334592229,26.1340612220904,26.1340612220904,26.1340612220904
288,"GHA","Ghana",13.2120396537997,13.2120396537997,13.2120396537997,9.77498402126626,0,0,0,0,0,14.4170171594205,27.0136018521678,28.7254282551406,26.5444800195676,26.8482355708458,32.1538268638823,32.6778387386892,31.6585677730864,22.7153182627035,13.6479456398734,13.6179134518025,13.6179134518025,13.7414432646551,17.3483452104203,51.0021514026577,56.407425590629,55.259940797749,55.259940797749,55.259940797749
300,"GRC","Greece",52.6488517210203,52.6488517210203,52.6488517210203,52.6488517210203,59.2778585170357,59.2778585170357,66.1065619726874,100,50.6688544643354,42.9373338489639,36.1543136479824,35.0120379033904,35.0120379033904,37.2120867145115,40.7671466555354,44.0828051484864,41.2266921795349,39.8417795950966,38.6169929477841,34.5034077181039,37.091950731046,37.6232000145267,38.1349636379029,34.4287248658652,37.9338258371944,38.48365684087,38.48365684087,38.48365684087
304,"GRL","Greenland",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
308,"GRD","Grenada",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
320,"GTM","Guatemala",23.1444164703729,23.1444164703729,23.1444164703729,22.6255788314833,21.6658124903628,21.420935124645,17.9076914679588,18.2221993201957,16.074478547492,16.9487609664577,17.4539899432831,18.1419332525384,18.885387285237,19.8703447647842,17.8965922546841,18.2139660187259,20.9700499434298,19.9628110287795,21.633344640881,22.6052647439998,24.2458039110567,24.710969249301,28.691489792757,33.3998849072933,46.2099727301728,43.7844052125003,43.7844052125003,43.7844052125003
831,"GGY","Guernsey",-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777
324,"GIN","Guinea",25.3397681556828,25.3397681556828,25.3397681556828,25.3397681556828,18.568749694567,25.3792839793751,25.3792839793751,16.0022618790131,8.80980667890893,10.806281728412,2.57318717554632,0,0,0,0,0,4.94753262863151,9.55339620441192,34.290175566428,34.290175566428,34.290175566428,34.290175566428,41.0713063094409,100,100,100,100,100
624,"GNB","Guinea-Bissau",100,100,100,100,100,100,100,100,100,23.2236786281826,23.2236786281826,23.2236786281826,23.2236786281826,21.7184732777338,40.7811087407072,40.7754167253225,40.7754167253225,40.7754167253225,93.0866127800381,97.8559943262886,100,100,100,100,100,100,100,100
328,"GUY","Guyana",70.0421693333646,70.0421693333646,70.0421693333646,70.0421693333646,100,56.0523368019068,49.679723057485,35.1828449372665,35.1828449372665,35.1828449372665,32.2748242802811,31.8871389975173,39.198122429442,39.198122429442,39.198122429442,50.9148461071295,53.4113058459006,42.7012830167255,41.4444279841915,41.2775473644454,41.2775473644454,41.28691733042,51.3832742409186,55.3349319024555,36.9530163839564,34.7631810860572,34.7631810860572,34.7631810860572
