"code","iso","country","GIB.ind.1995","GIB.ind.1996","GIB.ind.1997","GIB.ind.1998","GIB.ind.1999","GIB.ind.2000","GIB.ind.2001","GIB.ind.2002","GIB.ind.2003","GIB.ind.2004","GIB.ind.2005","GIB.ind.2006","GIB.ind.2007","GIB.ind.2008","GIB.ind.2009","GIB.ind.2010","GIB.ind.2011","GIB.ind.2012","GIB.ind.2013","GIB.ind.2014","GIB.ind.2015","GIB.ind.2016","GIB.ind.2017","GIB.ind.2018","GIB.ind.2019","GIB.ind.2020","GIB.ind.2021","GIB.ind.2022"
64,"BTN","Bhutan",23.7760943986057,23.7760943986057,23.7760943986057,23.7760943986057,23.7760943986057,30.4476777996152,40.4467222472409,53.8312616463524,73.8278999988133,94.6344970646418,98.3642642968658,100,100,100,98.0913452867192,89.8906581162877,80.8778174379698,71.611186336836,63.0171583744046,58.9128358550197,49.7087115677377,41.7194584952028,40.7565624893386,44.3716654429312,44.3649086115955,44.3649086115955,44.3649086115955,44.3649086115955
68,"BOL","Bolivia",0,0,0,0,0,0,0.0153643693335539,20.9331213930658,37.1158880468546,42.2636107268482,52.4269473261863,51.9050826152893,40.2964529026351,28.4240993633636,16.2765240817265,4.80875680263205,10.7636215580419,22.9889430045469,36.0604290029226,40.6263679564555,41.9716202910166,41.2703028304554,43.7240576134206,47.5727718707825,49.1455989146435,49.1455989146435,49.1455989146435,49.1455989146435
70,"BIH","Bosnia and Herzegovina",59.2574032783718,59.2574032783718,59.2574032783718,59.2574032783718,59.2574032783718,59.2574032783718,59.2574032783718,59.2574032783718,59.2574032783718,29.6508780783405,11.3711141831274,28.6135050361872,35.1151722234941,34.3964631145425,35.1145006616878,24.7179849584158,14.2534247593014,9.78132768556624,9.74371795583626,13.5977024801169,24.2146940340624,27.7048973941044,37.2180483574436,45.8980912996224,47.7378482692276,47.7378482692276,47.7378482692276,47.7378482692276
72,"BWA","Botswana",68.7292047310141,68.7292047310141,68.7292047310141,68.7292047310141,68.7292047310141,67.5751117652437,61.2787043857419,57.982367303508,88.3594442267012,100,100,100,100,81.3956809465142,88.9470302970914,50.9453042146527,0,0,10.0173458372917,45.7893901505467,79.4296730355522,100,100,100,100,100,100,100
76,"BRA","Brazil",34.5332987536299,34.5332987536299,34.5332987536299,34.5332987536299,34.5332987536299,34.481931660246,32.5820322230783,29.6892574376005,26.9156701164715,26.317265835001,27.9357198039586,32.9834898704154,39.6786789498295,45.5459851309108,50.8664655092417,53.9141920342267,56.0803861106901,55.8301024770621,52.3539740524962,45.5067898074666,37.3035343555392,29.3988725827601,23.7359333788848,22.6772048401447,24.3604899500999,24.3604899500999,24.3604899500999,24.3604899500999
92,"VGB","British Virgin Islands",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
96,"BRN","Brunei Darussalam",56.5712821870423,56.5712821870423,56.5712821870423,56.5712821870423,56.5712821870423,38.511915797855,31.0027149340942,34.6759365019788,32.205722211466,32.6074083769686,35.5827189410988,35.8488366272745,17.6894188031545,0,0,0,0,0,0,0.917651583217278,26.6680337632985,47.2911148082094,44.9603338283903,30.7990255181834,15.0349259185674,15.0349259185674,15.0349259185674,15.0349259185674
100,"BGR","Bulgaria",55.6291017625195,55.6291017625195,55.6291017625195,55.6291017625195,55.6291017625195,59.7600282709151,65.9670402955126,73.0696178015683,64.8712779628239,69.9584223473243,74.8182638884487,83.1849952711589,80.0971567670957,83.6264957775278,87.5052853339088,88.0633122375488,78.4628171476632,75.2874182493461,72.5704880528416,67.3175540757359,60.5165245453868,59.5716681026012,53.4819027966607,54.5695165442778,63.1819822780552,63.1819822780552,63.1819822780552,63.1819822780552
854,"BFA","Burkina Faso",64.4918369603742,64.4918369603742,64.4918369603742,64.4918369603742,64.4918369603742,65.4367966259506,71.7884406500352,73.7424808489249,66.9507776143372,56.2353667444392,46.6945733371581,44.1867916404903,40.7591371369835,39.9025652768781,42.9983032806381,43.3596664120736,50.6392329446087,59.2531924966008,60.0015151928315,59.2325054015885,58.3573732459314,58.9341544831312,58.905059754682,60.8214360243656,60.8939013058538,60.8939013058538,60.8939013058538,60.8939013058538
108,"BDI","Burundi",0,0,0,0,0,0,0,11.3237300797474,21.6264574642738,31.4230328607224,34.7200954697626,32.2887012853977,27.0126497790215,25.6692229998248,30.7160058620125,31.5779538630001,27.9398482245371,33.4905036187927,31.5708002394601,33.4183742770927,31.6566315166987,25.627152177257,14.7906182985865,6.67814570178352,6.32121522175815,6.32121522175815,6.32121522175815,6.32121522175815
132,"CPV","Cabo Verde",100,100,100,100,100,100,98.475827796258,80.4799757384082,61.268708750124,52.4815211679466,35.4695785906773,26.9297767084528,27.0397888776161,35.271900517519,37.2450485774806,39.5887470048178,39.8959074784118,46.2168885405758,52.2310959216437,58.9891935792603,55.6013216731117,49.504515439532,47.569596642825,43.5672441852243,36.4137920982331,36.4137920982331,36.4137920982331,36.4137920982331
116,"KHM","Cambodia",55.7740056017115,55.7740056017115,55.7740056017115,55.7740056017115,55.7740056017115,55.7740056017115,55.7740056017115,55.7740056017115,84.9825381239746,96.1061832034034,100,100,100,98.4392719976341,85.9509486033829,78.4608534299833,72.339611540126,68.4210597215135,64.0437727978346,65.49170860445,66.4565920519055,66.4519559305176,66.2551688980795,68.7143760570297,61.0236452855646,61.0236452855646,61.0236452855646,61.0236452855646
120,"CMR","Cameroon",30.8239907480297,30.8239907480297,30.8239907480297,30.8239907480297,30.8239907480297,38.2872710501382,49.8041666813883,58.6658917564791,59.1191700516042,67.0214986654749,69.8923167758143,72.28297605117,74.3980133629804,74.9317207601428,72.7560220237259,67.055599229635,65.1664152120874,66.1749888611255,64.3192278255947,64.6095333244171,58.0196118174841,55.5742144820896,56.5004641079613,57.1647100942281,56.8874802222437,56.8874802222437,56.8874802222437,56.8874802222437
124,"CAN","Canada",56.2058812489684,56.2058812489684,56.2058812489684,56.2058812489684,56.2058812489684,56.2058812489684,56.2058812489684,56.2058812489684,56.2058812489684,56.2058812489684,56.2058812489684,56.2058812489684,59.5973644663655,62.4263571553332,64.0447800341797,65.5160142034254,66.4028797679052,66.9597045303874,63.9633999220086,59.3773065085559,53.5961685770784,47.909797252623,43.9120882493372,40.7133793988852,37.8099810333354,37.8099810333354,37.8099810333354,37.8099810333354
136,"CYM","Cayman Islands",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
