"code","iso","country","GHP.ind.1995","GHP.ind.1996","GHP.ind.1997","GHP.ind.1998","GHP.ind.1999","GHP.ind.2000","GHP.ind.2001","GHP.ind.2002","GHP.ind.2003","GHP.ind.2004","GHP.ind.2005","GHP.ind.2006","GHP.ind.2007","GHP.ind.2008","GHP.ind.2009","GHP.ind.2010","GHP.ind.2011","GHP.ind.2012","GHP.ind.2013","GHP.ind.2014","GHP.ind.2015","GHP.ind.2016","GHP.ind.2017","GHP.ind.2018","GHP.ind.2019","GHP.ind.2020","GHP.ind.2021","GHP.ind.2022"
446,"MAC","Macao",59.4374943424393,56.1194968465621,54.9521289035572,54.0621180973179,55.4493564058025,54.088031009978,53.6021241148938,57.1597662892226,57.5450364790957,54.9787713756314,53.7966794967737,57.722049360116,63.0078720255833,68.5695157612262,55.1405319006848,67.2468227061007,66.3934558175916,70.5001328127667,73.3047222109554,67.3641499090326,59.1512377380274,63.7539440289612,61.8056668418394,59.4352264614582,50.3379117875847,50.3379117875847,50.3379117875847,50.3379117875847
450,"MDG","Madagascar",74.8257137265021,75.5590006939359,76.6082750992099,76.4655998320439,77.8274769591069,79.1330739737627,81.5018340287079,84.6716336400625,82.7441675830717,84.8174468321521,81.7881524652559,83.5030458178191,82.7403152419695,84.5047901662652,84.6374378990972,85.1100191000589,86.0575142835375,85.8316103582296,87.3417729820897,88.1202438520519,88.7359949155893,88.7418728895513,90.0971762986214,90.229253620463,91.0996363778234,91.0996363778234,91.0996363778234,91.0996363778234
454,"MWI","Malawi",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
458,"MYS","Malaysia",35.6920671747829,35.8060865149205,33.974294800367,36.767199557191,38.2333303567082,34.4556800155373,33.554483771912,33.239185344821,29.5797446660575,27.6816261075271,27.6722510594545,28.0746946071493,27.9044135464026,25.9439999885243,27.5445247095353,27.0530401754778,27.2822970389221,26.4560639441378,24.4823883858804,24.1318308549711,25.0279047581104,23.7504475809844,24.7015940738427,24.2533898345737,23.936053155895,23.936053155895,23.936053155895,23.936053155895
462,"MDV","Maldives",92.7433422937258,89.3714672577286,86.3625773809331,89.0988218490156,80.7245551883755,79.1091959650375,79.1269979600055,72.8684938854124,77.9036012510946,70.9220468672841,74.4902520838877,68.5577117074854,68.3384061307486,66.7499040723441,66.179932345674,65.4931762950338,64.7072845345139,62.4049461417667,64.1832411678854,60.256348527564,62.0055637751384,60.4800063216115,60.5864194266811,60.9506934963194,60.7239172038361,60.7239172038361,60.7239172038361,60.7239172038361
466,"MLI","Mali",79.0799113185741,78.3563133823343,78.6628428769613,77.498031329116,76.3045447493473,76.2789541421266,77.8772873497097,78.1225292695465,77.9650448967328,76.0254618427278,76.0438224439874,76.7687083187562,76.5555750249334,75.7383564683485,76.6177672841097,75.3936246893584,75.6606510153177,75.849386911507,75.3258731391091,75.6568388323239,75.3376852955799,73.5284111796644,73.9940341582114,73.795023221843,73.6260105242427,73.6260105242427,73.6260105242427,73.6260105242427
470,"MLT","Malta",39.8615996211981,40.6868225101714,37.4126854451438,41.2547218470861,38.7317013010839,41.8092304092196,37.3373694765295,39.6032278641222,36.3027354092539,36.4114605628699,34.967145082349,35.8896306980179,34.3829714528441,36.0823347354539,37.1150347874334,36.0830211302034,36.1913277874084,35.1316695758844,38.7967281781682,39.1850871050648,48.4687307843,53.7391959760631,51.3595934632694,43.4383973832687,42.6626452075771,42.6626452075771,42.6626452075771,42.6626452075771
584,"MHL","Marshall Islands",80.1129852365069,80.0299377799341,79.9868897631126,78.6982927671676,79.9484416788633,76.1702601577566,75.4111300571346,74.0339717339644,75.72902558219,73.3503744874487,74.4882254981158,72.8993717281345,71.9215206091319,71.0680046559406,69.9656342394246,68.891240093444,68.5573958029322,69.1968135584852,68.5913668602019,67.8152618561663,67.8603358870997,67.9198677350334,67.2165941118001,66.5520220961529,56.8112525022259,56.8112525022259,56.8112525022259,56.8112525022259
478,"MRT","Mauritania",62.4918996845633,60.878161166695,60.1573870328605,59.5111705302975,58.3356299001416,57.6156189121305,57.9746352266673,58.3556634443116,58.3763184416509,59.0357634777377,59.1041404451538,58.6766525968173,59.4893780241237,62.3272597913049,61.2098421592839,60.9523924220316,61.2774849000931,60.7329765469176,61.6850362635565,60.9313549055709,60.2341368589637,60.5126524691404,59.3430831288041,60.9449093324606,60.9746709045392,60.9746709045392,60.9746709045392,60.9746709045392
480,"MUS","Mauritius",70.9976220371131,69.7943474989256,69.6122368694194,68.0347658743176,66.0617278539472,63.6311109375804,63.8230641965442,63.5490075791184,62.2829171083412,62.1927807383797,60.8329188090578,58.5140522365202,58.1563903581689,57.7080565954263,58.1827915751567,56.9037814842003,56.7502663944245,56.4237578686606,55.8842254309682,54.9365525008845,55.0467281540727,54.1546393410441,53.0751159162175,52.7926964558172,52.1799566642939,52.1799566642939,52.1799566642939,52.1799566642939
484,"MEX","Mexico",42.9425837074531,41.8796645837212,40.1762166171081,39.3748416950033,39.9842143054514,39.9325354354617,39.8108047891742,40.1466865668627,38.9184594994624,39.2516527986293,38.0601503013957,37.4500350035558,37.1839157946429,35.9848698251618,37.1124610956161,37.7387759029242,38.7914109840954,38.8055779450491,39.221049853398,39.8654009462901,40.9066124316306,40.4357665329459,41.3494529380314,41.9169951514188,42.3421222490352,42.3421222490352,42.3421222490352,42.3421222490352
583,"FSM","Micronesia",85.0248509126222,85.2478142439122,84.0273536635233,83.9492041658021,83.1185197728598,82.4944881259875,79.9605393525706,81.0445061793009,79.2550551755902,79.7985712082159,83.2881459798001,83.1082164470798,80.7632548045921,84.3800011729291,77.5148961252769,85.0372175842247,81.9957176817553,80.9421918749223,79.2983926677849,79.6996830416448,78.8902514891698,79.0058141492037,79.2043349870438,78.7521887267312,71.3068825531597,71.3068825531597,71.3068825531597,71.3068825531597
498,"MDA","Moldova",44.548824840969,44.2699570706214,55.7066021453169,59.2245529371003,65.7287261186084,70.8642991837033,69.8910407102422,68.670892979353,67.0576013956671,66.445692323348,65.6959239098889,65.5145182595769,65.7689762932349,65.6424635105703,69.030927506816,66.6923419930241,65.9480001870232,67.0016987234532,66.2878959786651,66.5076199747135,66.4686896120173,65.2725898501851,63.5299480115009,58.4794398112085,59.445606625619,59.445606625619,59.445606625619,59.445606625619
