"code","iso","country","CHA.ind.1995","CHA.ind.1996","CHA.ind.1997","CHA.ind.1998","CHA.ind.1999","CHA.ind.2000","CHA.ind.2001","CHA.ind.2002","CHA.ind.2003","CHA.ind.2004","CHA.ind.2005","CHA.ind.2006","CHA.ind.2007","CHA.ind.2008","CHA.ind.2009","CHA.ind.2010","CHA.ind.2011","CHA.ind.2012","CHA.ind.2013","CHA.ind.2014","CHA.ind.2015","CHA.ind.2016","CHA.ind.2017","CHA.ind.2018","CHA.ind.2019","CHA.ind.2020","CHA.ind.2021","CHA.ind.2022"
84,"BLZ","Belize",38.1014308028555,38.1014308028555,38.1014308028555,38.1014308028555,38.1014308028555,25.3295601964143,12.9512142358789,4.87745966178021,0,0,2.54682860384281,14.4786330515787,22.2354625789893,28.98541326559,31.2740921601399,29.5046218108563,19.21719511709,22.3006683621398,21.0106216249159,28.9531001578324,33.6245089544833,38.8783148325362,39.5829706492267,38.7808343714533,37.0416346003807,37.0416346003807,37.0416346003807,37.0416346003807
204,"BEN","Benin",20.8571417290188,20.8571417290188,20.8571417290188,20.8571417290188,20.8571417290188,19.3268398400243,24.5318893824488,26.7746713256014,30.6867930890477,33.2729410346994,35.1844437938269,35.1958452591798,33.9609393112865,32.7075121182323,31.3928450206029,23.7341523670044,22.4209123308591,19.1913413259021,15.8484950493926,16.5880576343608,14.8978821318492,15.1215662474484,16.0773852577014,19.8459310765373,23.428409170535,23.428409170535,23.428409170535,23.428409170535
60,"BMU","Bermuda",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
64,"BTN","Bhutan",17.9675654398263,17.9675654398263,17.9675654398263,17.9675654398263,17.9675654398263,18.3507785251702,22.5407616970441,29.1083779555183,38.7346365743024,50.1570925889873,46.372125804003,42.2297558319415,38.5373247327882,40.176996897532,37.3725565823894,36.6580154966189,39.5778704812748,42.8793381078147,47.0263950617542,55.0284670496483,57.7124795117349,58.8375297957251,55.1319718269573,62.2651265254626,61.9112002372494,61.9112002372494,61.9112002372494,61.9112002372494
68,"BOL","Bolivia",81.871882153641,81.871882153641,81.871882153641,81.871882153641,81.871882153641,86.7972595273808,90.8890875177489,75.3655913227756,58.5530351662302,38.9272892118071,32.4596973972179,30.6172129811519,21.853196182112,20.873930691603,21.5772821889783,19.0756308294239,23.670168871601,24.2212301055553,24.9709483053968,24.5911078205605,23.1039779428663,23.6693742548637,27.1594711420275,31.3883275075703,34.5755845323454,34.5755845323454,34.5755845323454,34.5755845323454
70,"BIH","Bosnia and Herzegovina",0,0,0,0,0,0,0,0,0,0,3.16183767806751,18.8436299421499,22.2014365531553,21.0599484250739,21.8949196311912,24.5210053572881,27.399530427117,36.0345610062071,41.2382359556817,36.8712512845494,32.4535589604806,24.073894624945,20.3921109531126,13.7985620857683,13.2654865949843,13.2654865949843,13.2654865949843,13.2654865949843
72,"BWA","Botswana",37.7168734521313,37.7168734521313,37.7168734521313,37.7168734521313,37.7168734521313,37.395315189169,31.9554548897054,30.9410016013977,71.1647330313471,100,100,100,100,62.3955400041114,65.919791349898,19.9038473593413,0,0,0,29.6844519591785,78.3662131665909,100,100,100,100,100,100,100
76,"BRA","Brazil",37.8434859815406,37.8434859815406,37.8434859815406,37.8434859815406,37.8434859815406,37.9373545180496,36.6260489086462,33.601384146048,29.3893711072856,23.7335624501973,19.4117507983775,20.0307384828497,22.6725147695157,26.3041289484982,31.7863988631765,35.5974373758298,40.1465412260664,43.3285458398509,45.0639341955594,43.7654039717938,41.9233372249741,40.9019078640338,41.0982966466937,42.2232787750025,44.3606147493242,44.3606147493242,44.3606147493242,44.3606147493242
92,"VGB","British Virgin Islands",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
96,"BRN","Brunei Darussalam",28.6213194204751,28.6213194204751,28.6213194204751,28.6213194204751,28.6213194204751,22.2991646430021,14.9661112464831,18.1612959591719,17.9155322913056,23.0618459185956,28.6318781106738,26.9890549317648,29.5519118365461,23.6690229513267,28.2984387155105,34.2806025879778,33.0792138590734,38.8957338777826,45.516408413373,57.123501946,75.0189743086291,74.4978293668386,72.6223411241917,60.5340129079821,53.4476596435637,53.4476596435637,53.4476596435637,53.4476596435637
