"code","iso","country","BCA.ind.1995","BCA.ind.1996","BCA.ind.1997","BCA.ind.1998","BCA.ind.1999","BCA.ind.2000","BCA.ind.2001","BCA.ind.2002","BCA.ind.2003","BCA.ind.2004","BCA.ind.2005","BCA.ind.2006","BCA.ind.2007","BCA.ind.2008","BCA.ind.2009","BCA.ind.2010","BCA.ind.2011","BCA.ind.2012","BCA.ind.2013","BCA.ind.2014","BCA.ind.2015","BCA.ind.2016","BCA.ind.2017","BCA.ind.2018","BCA.ind.2019","BCA.ind.2020","BCA.ind.2021","BCA.ind.2022"
178,"COG","Republic of Congo",61.0656521850989,61.0656521850989,61.0656521850989,61.0656521850989,61.0656521850989,69.0863789682964,74.3046118853368,82.2078680741205,78.9580664575375,78.8232927409592,72.1472388821626,39.497426520163,30.8280641107249,12.8108638695233,0,0,0,0,0,0,0,0,0.645729409311429,28.9469065239923,55.7099787434172,55.7099787434172,55.7099787434172,55.7099787434172
642,"ROU","Romania",91.0500979422788,91.0500979422788,91.0500979422788,91.0500979422788,91.0500979422788,100,100,100,100,100,100,87.3400733037259,54.9004884010581,22.7441223499289,19.3951487869583,18.8727130423355,31.8712776642279,42.7651747601229,60.9097496772129,76.239412937338,88.4257303169606,100,100,100,100,100,100,100
643,"RUS","Russia",79.7392725310122,79.7392725310122,79.7392725310122,79.7392725310122,79.7392725310122,88.5540074496772,87.2552324415603,83.9023304389187,76.5397942607334,62.5523093927478,50.6881919133673,43.9611368465183,42.2436269831033,44.3402624882334,50.996044493278,57.9402916269184,62.6355980854703,73.9339679761005,88.1483178063508,94.9002996555956,100,100,100,100,100,100,100,100
646,"RWA","Rwanda",75.6014260193548,75.6014260193548,75.6014260193548,75.6014260193548,75.6014260193548,56.47639323934,37.0921978239188,28.6243073502871,33.244254849137,33.2126743073627,33.3165627412784,35.4325716909535,40.7012786283668,43.4550332989993,42.4683033221798,43.535871532577,42.3819185128554,44.2074908598063,48.1041184910833,53.5899232964904,57.7964022779538,60.4732253555925,61.4007170215023,62.4138204686607,63.2423974653216,63.2423974653216,63.2423974653216,63.2423974653216
652,"BLM","Saint Barthelemy",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
659,"KNA","Saint Kitts and Nevis",26.4830832540119,26.4830832540119,26.4830832540119,26.4830832540119,26.4830832540119,29.8048494219466,23.1594490703933,25.1254816709962,27.8794290358235,23.7884149000261,26.308014570858,30.4366187202272,23.6293486435871,30.3128694869124,30.2955982455623,36.2296332964808,48.4714331553182,50.2004982101372,48.9639192801625,44.6158725142559,47.9223576168107,51.3001938024823,52.0358582353281,58.2964431537305,59.350847975031,59.350847975031,59.350847975031,59.350847975031
662,"LCA","Saint Lucia",31.5615470772788,31.5615470772788,31.5615470772788,31.5615470772788,31.5615470772788,39.3029448551711,47.2328289866716,58.6735915655121,69.374761391709,74.6040102882734,80.9223562228188,84.7643309905778,79.2751361905286,84.292149324808,74.1735439170357,67.896750685794,67.3199260412481,63.3353742148549,58.3319572646994,51.5533775871211,50.7909802715137,52.2482578231786,53.8772128501312,60.7689890082483,64.1577228116575,64.1577228116575,64.1577228116575,64.1577228116575
670,"VCT","Saint Vincent and the Grenadines",31.4941036734643,31.4941036734643,31.4941036734643,31.4941036734643,31.4941036734643,42.7322549085676,51.9373985227499,63.1597896058703,71.9451835324825,69.8931886668955,73.0040618824607,76.0052920862163,73.1915914302032,78.3434813993702,68.4263897470778,67.7053071802401,78.4787575906702,81.6958774495781,83.9467266889454,77.0794444872766,78.2706442852836,78.6615338585653,77.0089128711559,84.1909425612985,81.5116838457471,81.5116838457471,81.5116838457471,81.5116838457471
882,"WSM","Samoa",57.906530238395,57.906530238395,57.906530238395,57.906530238395,57.906530238395,59.1164914705045,61.2737459188611,67.5803422031383,81.1555777005222,88.143186399959,100,100,100,100,100,92.689073742043,72.4518871065021,65.4458764474893,63.698325637638,62.4214959546415,63.3960752019332,64.396150278604,69.1778084500642,74.9122644695632,84.6596618532953,84.6596618532953,84.6596618532953,84.6596618532953
674,"SMR","San Marino",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
678,"STP","Sao Tome and Principe",53.4711088140022,53.4711088140022,53.4711088140022,53.4711088140022,53.4711088140022,53.9948800688717,54.4353139892244,57.9598402839045,64.4583499384563,58.2483015289276,46.2686206180427,34.7441957510886,29.7987531147119,26.8875503350718,25.4478197667326,29.3086689805902,34.5822161387153,41.4723955882565,49.4328210877394,56.1024625796965,58.582050351117,58.944796030235,57.9753654977147,57.4690016298307,56.4133029755041,56.4133029755041,56.4133029755041,56.4133029755041
682,"SAU","Saudi Arabia",86.1229663229115,86.1229663229115,86.1229663229115,86.1229663229115,86.1229663229115,92.1641392989704,84.897410689314,72.9928686627783,59.2819639789573,38.0440582108207,32.3174487405357,19.3207497655994,4.15097883543278,0,0,0,0,0,0.259206878787978,6.53003176188585,11.6053912262753,24.4418139467661,51.922550171078,75.1518317055283,100,100,100,100
686,"SEN","Senegal",29.9932822146265,29.9932822146265,29.9932822146265,29.9932822146265,29.9932822146265,22.5358660186466,15.6852627114539,10.2953402302953,11.1437484349109,16.0016638100583,23.7964425815709,31.2461786673979,32.4356719108991,28.8857250506016,9.55448388214978,0,0,0,0,0,14.3641398914637,32.0097213917594,45.7494548147887,58.1013740598331,55.0752506838109,55.0752506838109,55.0752506838109,55.0752506838109
688,"SRB","Serbia",69.3579345266225,69.3579345266225,69.3579345266225,69.3579345266225,69.3579345266225,69.3579345266225,69.3579345266225,69.3579345266225,55.0878923809114,48.9133704049005,55.937855272858,48.3228842437102,36.7331645390994,32.3428486537531,42.4266737578696,56.8817241074805,64.3954914880764,70.3067913288262,78.7822364811649,90.9726945585051,100,100,100,100,100,100,100,100
690,"SYC","Seychelles",0,0,0,0,0,0,0,0,0,0,0,0,0,10.8236725672071,19.3903637208061,34.5764928476204,53.7696710573329,82.5194509417737,100,100,100,96.2298258014316,80.9632986854865,65.603137545491,47.536895036812,47.536895036812,47.536895036812,47.536895036812
694,"SLE","Sierra Leone",79.3291184661351,79.3291184661351,79.3291184661351,79.3291184661351,79.3291184661351,76.3653289506217,68.3643545496369,65.845554809901,67.1507135657853,56.0727662806518,41.377459720076,27.4279859666816,22.1334531179711,20.5843366296378,21.6929320504757,28.4471720727905,33.3306206533436,41.0450548084895,48.897730538321,56.4336880730565,61.9034195499839,63.6198281308574,64.1526973670112,64.3472353906378,64.6517900719169,64.6517900719169,64.6517900719169,64.6517900719169
702,"SGP","Singapore",81.2528037665749,81.2528037665749,81.2528037665749,81.2528037665749,81.2528037665749,95.0432375568584,73.763527999837,66.0093119769638,60.6740942467461,50.6679679155192,37.6317807818531,33.6415669635193,31.5472675678676,34.1304288303947,39.0781993661377,37.7374694493641,30.7041918655774,29.8550697390254,28.9749971601224,30.4199068853191,31.3121385782561,34.6957750309536,41.4445876024895,51.1272469404182,62.6169290087599,62.6169290087599,62.6169290087599,62.6169290087599
534,"SXM","Sint Maarten",64.7812414033905,64.7812414033905,64.7812414033905,64.7812414033905,64.7812414033905,64.7812414033905,64.7812414033905,64.7812414033905,64.7812414033905,64.7812414033905,0,0,0,0,15.0277179127995,25.5820313147205,46.0473524675018,47.8339417267645,47.768345551127,40.3381266591308,46.4786961491164,49.6243832899895,41.9165179851295,42.1471199909711,37.1052142245211,37.1052142245211,37.1052142245211,37.1052142245211
703,"SVK","Slovakia",100,100,100,100,100,100,100,100,100,100,100,96.0006370901704,75.4477424978475,54.8702374305849,40.8337380859631,38.5411222195463,44.7486590388884,52.2991014926136,67.1598290707978,79.745556341241,94.466421667118,100,100,100,100,100,100,100
