"code","iso","country","SDA.ind.1995","SDA.ind.1996","SDA.ind.1997","SDA.ind.1998","SDA.ind.1999","SDA.ind.2000","SDA.ind.2001","SDA.ind.2002","SDA.ind.2003","SDA.ind.2004","SDA.ind.2005","SDA.ind.2006","SDA.ind.2007","SDA.ind.2008","SDA.ind.2009","SDA.ind.2010","SDA.ind.2011","SDA.ind.2012","SDA.ind.2013","SDA.ind.2014","SDA.ind.2015","SDA.ind.2016","SDA.ind.2017","SDA.ind.2018","SDA.ind.2019","SDA.ind.2020","SDA.ind.2021","SDA.ind.2022"
531,"CUW","Curacao",78.303214032837,78.303214032837,78.303214032837,78.303214032837,78.303214032837,78.303214032837,78.303214032837,78.303214032837,78.303214032837,78.303214032837,78.303214032837,78.303214032837,78.303214032837,78.303214032837,78.303214032837,100,100,100,100,100,100,100,88.699075581918,87.5574738509041,83.0208352108636,83.0208352108636,83.0208352108636,83.0208352108636
196,"CYP","Cyprus",39.8148725982386,39.8148725982386,39.8148725982386,39.8148725982386,39.8148725982386,44.583697791707,53.6031815404362,58.4525821853034,60.3899519362353,67.136879230121,81.4136131094563,100,100,100,100,100,100,100,100,100,100,93.9792237760736,82.9026847570928,83.6878829793953,85.0649011003159,85.0649011003159,85.0649011003159,85.0649011003159
203,"CZE","Czech Republic",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
180,"COD","Dem. Rep. Congo",85.4151242410121,85.4151242410121,85.4151242410121,85.4151242410121,85.4151242410121,82.0712315676712,80.0533994200099,61.3179856720186,57.2308991648554,51.8797578915248,49.9853037173204,46.988059223001,44.6579644526439,40.8746904076169,39.1132470270215,39.2011512248369,38.6565349405114,44.1839489851782,44.8116356752575,42.3391518269988,46.5318830540449,52.6979521313442,56.7195842412506,58.4254655933419,60.2005233107194,60.2005233107194,60.2005233107194,60.2005233107194
208,"DNK","Denmark",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
262,"DJI","Djibouti",67.795645204032,67.795645204032,67.795645204032,67.795645204032,67.795645204032,67.795645204032,72.6708879770225,71.793171810964,69.698192268003,65.6244682236506,61.1213052419107,57.6140607066326,58.4768408334101,54.6667097881457,54.4277063468313,56.5900388023416,69.3266490936655,77.672078978665,90.577902680582,94.6222501018213,88.8020255608277,82.9052009561181,71.6165453683228,64.0663915684183,60.9559768728919,60.9559768728919,60.9559768728919,60.9559768728919
212,"DMA","Dominica",50.0902955071878,50.0902955071878,50.0902955071878,50.0902955071878,50.0902955071878,50.8907182239542,46.9388769490284,49.8116576367537,50.0981810669322,51.1668794964417,49.1155275455639,55.2670952206892,46.9753235737972,47.7154203038709,50.4356728703892,41.3002745866084,53.4670447218019,60.3025354651397,63.0867373939291,70.0011038853621,77.3702062333566,96.0623210816483,88.7571002037194,91.0524656555689,97.3305907283032,97.3305907283032,97.3305907283032,97.3305907283032
214,"DOM","Dominican Republic",18.7492489026479,18.7492489026479,18.7492489026479,18.7492489026479,18.7492489026479,17.4325965424622,14.5886012625848,7.42681595600808,21.4163895891819,36.7931753135972,46.4005977314662,60.396351434348,71.5873660255706,77.2167052031559,91.6862845593315,98.4845526964216,96.6017984437223,85.4674054133516,78.7131736208718,86.5115723064418,74.6612910306709,65.8701720858139,62.8792974670301,58.3901797603106,54.3465393865741,54.3465393865741,54.3465393865741,54.3465393865741
218,"ECU","Ecuador",38.3391182982215,38.3391182982215,38.3391182982215,38.3391182982215,38.3391182982215,47.9669140861898,55.2948006205497,59.4009474975363,73.4345526877437,84.5698016852,86.2025867903388,78.5300804918619,66.6007315894749,56.0237829365509,54.4961581445937,47.8162533910879,40.1115937297494,33.1672051604155,33.0432867406313,32.9688172368653,37.5370407482704,50.4202782922218,67.7042041610443,82.1282052764181,100,100,100,100
818,"EGY","Egypt",66.3277020818735,66.3277020818735,66.3277020818735,66.3277020818735,66.3277020818735,66.6387956604867,70.2218751630733,71.4654212251583,73.4656335678371,74.1422879245638,73.4970576128046,71.4443847935179,63.5568647741741,47.5137478719679,34.5625918415301,30.3807627535944,36.6267577524944,41.7066599482104,48.1272731953002,42.5632680964454,44.8088883629476,52.9965121417358,64.532284811895,74.2395634577974,84.4990034556423,84.4990034556423,84.4990034556423,84.4990034556423
222,"SLV","El Salvador",2.40808669596419,2.40808669596419,2.40808669596419,2.40808669596419,2.40808669596419,18.7377308728614,21.0519842672736,21.1260538424054,25.706354890646,33.7083453347569,36.7257094712011,43.869662337808,39.3980602704852,44.7816758940933,57.9201692732329,73.7643111151462,83.1244325872524,85.6644155969038,97.3542227997265,100,100,100,100,100,100,100,100,100
226,"GNQ","Equatorial Guinea",11.6260130314371,11.6260130314371,11.6260130314371,11.6260130314371,11.6260130314371,0,0,0,0,0,0,0,0,1.88376426581894,24.7560737649695,55.8324505498594,100,100,100,100,100,100,86.2423244338661,76.7815033971067,66.622095916137,66.622095916137,66.622095916137,66.622095916137
