"code","iso","country","TBN.ind.1995","TBN.ind.1996","TBN.ind.1997","TBN.ind.1998","TBN.ind.1999","TBN.ind.2000","TBN.ind.2001","TBN.ind.2002","TBN.ind.2003","TBN.ind.2004","TBN.ind.2005","TBN.ind.2006","TBN.ind.2007","TBN.ind.2008","TBN.ind.2009","TBN.ind.2010","TBN.ind.2011","TBN.ind.2012","TBN.ind.2013","TBN.ind.2014","TBN.ind.2015","TBN.ind.2016","TBN.ind.2017","TBN.ind.2018","TBN.ind.2019","TBN.ind.2020","TBN.ind.2021","TBN.ind.2022"
270,"GMB","Gambia",13.6939755598826,13.6939755598826,28.1029929792424,28.1029929792424,28.1029929792424,28.1029929792424,28.1029929792424,28.1029929792424,28.1029929792424,31.0783423144166,31.0783423144166,31.0783423144166,31.0783423144166,31.3130103624572,31.5292059368948,31.5292059368948,31.5292059368948,31.5292059368948,31.5292059368948,31.5292059368948,42.8175938822034,42.8175938822034,42.8175938822034,42.8175938822034,42.8175938822034,42.8175938822034,42.8175938822034,42.8175938822034
268,"GEO","Georgia",9.48400623679559,17.7017347701912,18.7238924064896,18.7897575131818,21.0714952280574,21.0714952280574,21.0714952280574,21.0714952280574,21.0714952280574,33.7687786888176,33.7687786888176,33.7687786888176,35.0899360222749,45.2611913893969,45.2611913893969,45.2611913893969,45.2611913893969,46.5751755384684,47.1781892904999,47.2878492205361,53.9321077711818,53.9321077711818,53.9755063615747,53.9755063615747,53.9755063615747,54.0127701078908,54.0127701078908,64.3344888699882
276,"DEU","Germany",82.9550424463359,91.0862714585641,95.0674926538471,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
288,"GHA","Ghana",76.2308753863959,76.2308753863959,76.2308753863959,76.2308753863959,76.2308753863959,76.2308753863959,76.2308753863959,76.2308753863959,76.2308753863959,76.9124940770965,76.9124940770965,76.9124940770965,76.9124940770965,76.9124940770965,76.9124940770965,76.9124940770965,76.9124940770965,76.9124940770965,76.9124940770965,76.9124940770965,76.9124940770965,76.9124940770965,76.9124940770965,76.9124940770965,76.9124940770965,76.9124940770965,76.9124940770965,76.9124940770965
300,"GRC","Greece",55.0256833977878,56.2152743167245,57.2252437124711,67.8507197409241,68.3747901740147,68.5772786945676,69.2550772133288,82.3529341597118,97.8979141829459,99.3041521943312,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
304,"GRL","Greenland",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
308,"GRD","Grenada",44.9241251032685,44.9241251032685,46.9891882957552,46.9891882957552,46.9891882957552,46.9891882957552,46.9891882957552,46.9891882957552,46.9891882957552,46.9891882957552,46.9891882957552,46.9891882957552,46.9891882957552,46.9891882957552,46.9891882957552,46.9891882957552,46.9891882957552,46.9891882957552,48.0920442161012,48.0920442161012,48.0920442161012,48.0920442161012,48.0920442161012,48.0920442161012,48.0920442161012,48.0920442161012,48.0920442161012,48.0920442161012
320,"GTM","Guatemala",53.7136476279355,71.1710470485265,71.8914697402012,73.8863107776459,74.1254082530118,74.2664916746388,74.3541729263288,74.5129778387747,74.57791029517,74.5903846651524,74.8663374946753,74.874673708067,75.3480828291912,75.639200192083,75.6569795805065,75.8819479791676,75.9703519603665,75.9756939551641,76.0000626237494,76.0628590846794,76.1586003808759,76.16299505648,76.2960519811241,76.4914819604759,76.5013343660135,76.6778139608482,76.6778139608529,76.6778139608529
831,"GGY","Guernsey",0,0,0,0,0,0,0,0,0,0,0,0,0,0.256265718362363,0.256265718362363,0.256265718362363,0.256265718362363,0.256265718362363,0.256265718362363,0.256265718362363,0.256265718362363,0.256265718362363,0.256265718362363,0.256265718362363,0.256265718362363,0.256265718362363,0.256265718362363,0.256265718362363
324,"GIN","Guinea",61.2275393772376,61.2275393772376,61.2275393772376,61.2275393772376,61.2275393772376,61.2275393772376,61.2275393772376,61.2275393772376,95.6435051470147,95.6435051470147,95.6435051470147,99.6610882555512,99.6610882555512,99.6610882555512,99.6610882555512,99.6610882555512,99.6610882555512,99.6610882555512,99.6610882555512,99.6610882555512,99.6610882555512,99.6610882555512,99.6610882555512,99.6610882555512,99.6610882555512,99.6610882555512,99.6610882555512,99.6610882555512
