"code","iso","country","LCB.ind.1995","LCB.ind.1996","LCB.ind.1997","LCB.ind.1998","LCB.ind.1999","LCB.ind.2000","LCB.ind.2001","LCB.ind.2002","LCB.ind.2003","LCB.ind.2004","LCB.ind.2005","LCB.ind.2006","LCB.ind.2007","LCB.ind.2008","LCB.ind.2009","LCB.ind.2010","LCB.ind.2011","LCB.ind.2012","LCB.ind.2013","LCB.ind.2014","LCB.ind.2015","LCB.ind.2016","LCB.ind.2017","LCB.ind.2018","LCB.ind.2019","LCB.ind.2020","LCB.ind.2021","LCB.ind.2022"
212,"DMA","Dominica",3.59915696066571,3.59915696066571,3.59915696066571,3.59915696066571,3.59915696066571,3.59915696066571,3.59915696066571,3.59915696066571,3.59915696066571,3.59915696066571,3.59915696066571,3.59915696066571,3.59915696066571,3.59915696066571,3.59915696066571,3.59915696066571,15.3946571713678,26.0207115250561,57.6790399716574,74.0770920795695,100,100,43.3508605275842,43.3508605275842,43.3508605275842,43.3508605275842,43.3508605275842,43.3508605275842
214,"DOM","Dominican Republic",51.5423574672898,51.5423574672898,51.5423574672898,51.5423574672898,51.5423574672898,51.5423574672898,51.5423574672898,51.5423574672898,51.5423574672898,51.5423574672898,51.5423574672898,51.5423574672898,51.5423574672898,51.5423574672898,51.5423574672898,51.5423574672898,59.1874278762501,63.0636230728209,69.7636712924864,66.6128244937891,59.8878044764986,54.0428973553975,44.7104233118327,44.7104233118327,44.7104233118327,44.7104233118327,44.7104233118327,44.7104233118327
218,"ECU","Ecuador",43.0062727167699,43.0062727167699,43.0062727167699,43.0062727167699,43.0062727167699,43.0062727167699,43.0062727167699,43.0062727167699,43.0062727167699,43.0062727167699,43.0062727167699,43.0062727167699,43.0062727167699,43.0062727167699,43.0062727167699,43.0062727167699,37.0998523223699,29.9416585683228,48.8577348319426,59.9014344057865,68.97172192371,75.1937603344904,62.4060902317931,62.4060902317931,62.4060902317931,62.4060902317931,62.4060902317931,62.4060902317931
818,"EGY","Egypt",70.9722687829032,70.9722687829032,70.9722687829032,70.9722687829032,70.9722687829032,70.9722687829032,70.9722687829032,70.9722687829032,70.9722687829032,70.9722687829032,70.9722687829032,70.9722687829032,70.9722687829032,70.9722687829032,70.9722687829032,70.9722687829032,64.3472449221959,39.8470919059697,8.51813769393581,0,0,0.355304628848657,0,0,0,0,0,0
222,"SLV","El Salvador",89.8924383451062,89.8924383451062,89.8924383451062,89.8924383451062,89.8924383451062,89.8924383451062,89.8924383451062,89.8924383451062,89.8924383451062,89.8924383451062,89.8924383451062,89.8924383451062,89.8924383451062,89.8924383451062,89.8924383451062,89.8924383451062,82.0865529058996,86.5232321212854,84.0512728533607,82.3324511688773,74.5046906334542,55.718328381494,48.4996612469115,48.4996612469115,48.4996612469115,48.4996612469115,48.4996612469115,48.4996612469115
226,"GNQ","Equatorial Guinea",25.7398377376561,25.7398377376561,25.7398377376561,25.7398377376561,25.7398377376561,25.7398377376561,25.7398377376561,25.7398377376561,25.7398377376561,25.7398377376561,25.7398377376561,25.7398377376561,25.7398377376561,25.7398377376561,25.7398377376561,25.7398377376561,0,0,0,0,2.25742125941051,26.4335547258634,33.2355805259664,33.2355805259664,33.2355805259664,33.2355805259664,33.2355805259664,33.2355805259664
232,"ERI","Eritrea",81.009305910996,81.009305910996,81.009305910996,81.009305910996,81.009305910996,81.009305910996,81.009305910996,81.009305910996,81.009305910996,81.009305910996,81.009305910996,81.009305910996,81.009305910996,81.009305910996,81.009305910996,81.009305910996,42.4706266110629,0.942250450000671,0,0,0,48.9635201238647,27.4021964547556,27.4021964547556,27.4021964547556,27.4021964547556,27.4021964547556,27.4021964547556
233,"EST","Estonia",50.2978503352372,50.2978503352372,50.2978503352372,50.2978503352372,50.2978503352372,50.2978503352372,50.2978503352372,50.2978503352372,50.2978503352372,50.2978503352372,50.2978503352372,50.2978503352372,50.2978503352372,50.2978503352372,50.2978503352372,50.2978503352372,40.6725250114381,34.9009812428726,57.8990374746789,54.7472103009368,55.6253623437274,44.285820515285,39.7564429669795,39.7564429669795,39.7564429669795,39.7564429669795,39.7564429669795,39.7564429669795
748,"SWZ","Eswatini",53.929478756756,53.929478756756,53.929478756756,53.929478756756,53.929478756756,53.929478756756,53.929478756756,53.929478756756,53.929478756756,53.929478756756,53.929478756756,53.929478756756,53.929478756756,53.929478756756,53.929478756756,53.929478756756,68.4133717623264,86.2390845423233,95.7128510178825,91.492599568592,97.0452485448527,76.9450960893512,59.731215217904,59.731215217904,59.731215217904,59.731215217904,59.731215217904,59.731215217904
231,"ETH","Ethiopia",37.0781252501437,37.0781252501437,37.0781252501437,37.0781252501437,37.0781252501437,37.0781252501437,37.0781252501437,37.0781252501437,37.0781252501437,37.0781252501437,37.0781252501437,37.0781252501437,37.0781252501437,37.0781252501437,37.0781252501437,37.0781252501437,47.4731028529439,37.8949650537113,32.8354153388101,29.3207768733783,45.7492073851852,56.1306780016015,48.181737901155,48.181737901155,48.181737901155,48.181737901155,48.181737901155,48.181737901155
