"code","iso","country","SHI.ind.1995","SHI.ind.1996","SHI.ind.1997","SHI.ind.1998","SHI.ind.1999","SHI.ind.2000","SHI.ind.2001","SHI.ind.2002","SHI.ind.2003","SHI.ind.2004","SHI.ind.2005","SHI.ind.2006","SHI.ind.2007","SHI.ind.2008","SHI.ind.2009","SHI.ind.2010","SHI.ind.2011","SHI.ind.2012","SHI.ind.2013","SHI.ind.2014","SHI.ind.2015","SHI.ind.2016","SHI.ind.2017","SHI.ind.2018","SHI.ind.2019","SHI.ind.2020","SHI.ind.2021","SHI.ind.2022"
591,"PAN","Panama",100,100,100,100,100,100,100,98.8112927191679,98.0683506686479,96.2852897473997,95.0965824665676,93.0163447251115,91.6790490341753,89.3016344725112,86.924219910847,85.735512630015,83.9524517087667,82.1693907875185,80.9806835066865,80.3863298662706,80.3863298662706,80.3863298662706,80.3863298662706,80.3863298662706,80.3863298662706,80.3863298662706,80.3863298662706,80.3863298662706
598,"PNG","Papua New Guinea",100,100,100,100,100,100,100,99.8514115898959,99.8514115898959,99.702823179792,99.5542347696879,99.4056463595839,99.25705794948,98.8112927191679,98.3655274888559,97.7711738484397,97.1768202080238,96.2852897473997,95.6909361069836,94.6508172362556,94.6508172362556,94.6508172362556,94.6508172362556,94.6508172362556,94.6508172362556,94.6508172362556,94.6508172362556,94.6508172362556
600,"PRY","Paraguay",100,100,100,100,100,100,100,91.0846953937594,79.0490341753344,68.9450222882615,59.4353640416047,53.4918276374444,40.4160475482912,31.5007429420506,21.9910846953938,9.95542347696882,0.742942050520017,0,0,0,0,0,0,0,0,0,0,0
604,"PER","Peru",100,100,100,100,100,100,100,98.0683506686479,97.1768202080238,93.6106983655274,91.9762258543833,90.9361069836553,89.5988112927191,88.5586924219912,86.3298662704309,84.6953937592868,83.0609212481426,79.3462109955424,76.9687964338782,74.888558692422,74.888558692422,74.888558692422,74.888558692422,74.888558692422,74.888558692422,74.888558692422,74.888558692422,74.888558692422
608,"PHL","Philippines",100,100,100,100,100,100,100,98.2169390787518,96.2852897473997,93.9078751857356,90.3417533432391,85.1411589895988,80.8320950965824,78.3060921248144,74.145616641902,65.3789004457653,61.367013372957,55.5720653789005,49.0341753343238,42.9420505200594,42.9420505200594,42.9420505200594,42.9420505200594,42.9420505200594,42.9420505200594,42.9420505200594,42.9420505200594,42.9420505200594
616,"POL","Poland",100,100,100,100,100,100,100,98.3655274888559,96.4338781575038,94.0564635958394,93.9078751857356,93.9078751857356,93.7592867756315,93.3135215453194,93.1649331352155,93.0163447251115,93.0163447251115,92.8677563150074,92.8677563150074,92.5705794947994,92.5705794947994,92.5705794947994,92.5705794947994,92.5705794947994,92.5705794947994,92.5705794947994,92.5705794947994,92.5705794947994
620,"PRT","Portugal",100,100,100,100,100,100,100,97.6225854383358,95.2451708766717,90.6389301634473,88.5586924219912,86.924219910847,85.2897473997029,83.3580980683506,81.2778603268944,79.7919762258544,78.4546805349183,76.6716196136703,74.888558692422,72.9569093610699,72.9569093610699,72.9569093610699,72.9569093610699,72.9569093610699,72.9569093610699,72.9569093610699,72.9569093610699,72.9569093610699
634,"QAT","Qatar",100,100,100,100,100,100,100,99.702823179792,99.5542347696879,99.5542347696879,99.25705794948,98.959881129272,98.6627043090638,97.0282317979197,96.7310549777118,96.5824665676077,96.2852897473997,78.6032689450224,78.3060921248144,76.6716196136703,76.6716196136703,76.6716196136703,76.6716196136703,76.6716196136703,76.6716196136703,76.6716196136703,76.6716196136703,76.6716196136703
178,"COG","Republic of Congo",100,100,100,100,100,100,100,99.4056463595839,98.959881129272,98.3655274888559,98.0683506686479,97.7711738484397,97.4739970282318,96.5824665676077,96.1367013372956,95.6909361069836,95.2451708766717,94.6508172362556,94.2050520059435,93.3135215453194,93.3135215453194,93.3135215453194,93.3135215453194,93.3135215453194,93.3135215453194,93.3135215453194,93.3135215453194,93.3135215453194
642,"ROU","Romania",100,100,100,100,100,100,100,98.2169390787518,94.9479940564635,91.5304606240714,91.0846953937594,90.4903417533432,89.7473997028232,88.8558692421991,88.261515601783,87.8157503714711,87.221396731055,86.6270430906388,86.0326894502229,84.9925705794947,84.9925705794947,84.9925705794947,84.9925705794947,84.9925705794947,84.9925705794947,84.9925705794947,84.9925705794947,84.9925705794947
643,"RUS","Russia",100,100,100,100,100,100,100,99.25705794948,98.3655274888559,97.3254086181277,96.8796433878158,96.2852897473997,95.3937592867756,94.3536404160476,93.6106983655274,93.1649331352155,92.5705794947994,91.5304606240714,90.4903417533432,89.5988112927191,89.5988112927191,89.5988112927191,89.5988112927191,89.5988112927191,89.5988112927191,89.5988112927191,89.5988112927191,89.5988112927191
646,"RWA","Rwanda",100,100,100,100,100,100,100,99.5542347696879,99.25705794948,98.959881129272,98.8112927191679,98.6627043090638,98.6627043090638,98.51411589896,98.3655274888559,98.2169390787518,98.2169390787518,97.9197622585438,96.5824665676077,94.0564635958394,94.0564635958394,94.0564635958394,94.0564635958394,94.0564635958394,94.0564635958394,94.0564635958394,94.0564635958394,94.0564635958394
652,"BLM","Saint Barthelemy",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
659,"KNA","Saint Kitts and Nevis",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
662,"LCA","Saint Lucia",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
670,"VCT","Saint Vincent and the Grenadines",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
882,"WSM","Samoa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
