"code","iso","country","BHV.ind.1995","BHV.ind.1996","BHV.ind.1997","BHV.ind.1998","BHV.ind.1999","BHV.ind.2000","BHV.ind.2001","BHV.ind.2002","BHV.ind.2003","BHV.ind.2004","BHV.ind.2005","BHV.ind.2006","BHV.ind.2007","BHV.ind.2008","BHV.ind.2009","BHV.ind.2010","BHV.ind.2011","BHV.ind.2012","BHV.ind.2013","BHV.ind.2014","BHV.ind.2015","BHV.ind.2016","BHV.ind.2017","BHV.ind.2018","BHV.ind.2019","BHV.ind.2020","BHV.ind.2021","BHV.ind.2022"
132,"CPV","Cabo Verde",43.102,43.102,43.102,43.102,43.102,43.102,43.102,43.102,43.102,43.102,43.102,43.102,43.102,43.102,43.102,43.102,43.102,43.102,43.102,43.102,43.102,43.102,43.102,43.102,43.102,43.102,43.102,43.102
116,"KHM","Cambodia",35.8186,35.8186,35.8186,35.8186,35.8186,35.8186,35.8186,35.8186,35.8186,35.8186,35.8186,35.8186,35.8186,35.8186,35.8186,35.8186,35.8186,35.8186,35.8186,35.8186,35.8186,35.8186,35.8186,35.8186,35.8186,35.8186,35.8186,35.8186
120,"CMR","Cameroon",56.5788,56.5788,56.5788,56.5788,56.5788,56.5788,56.5788,56.5788,56.5788,56.5788,56.5788,56.5788,56.5788,56.5788,56.5788,56.5788,56.5788,56.5788,56.5788,56.5788,56.5788,56.5788,56.5788,56.5788,56.5788,56.5788,56.5788,56.5788
124,"CAN","Canada",78.6215,78.6215,78.6215,78.6215,78.6215,78.6215,78.6215,78.6215,78.6215,78.6215,78.6215,78.6215,78.6215,78.6215,78.6215,78.6215,78.6215,78.6215,78.6215,78.6215,78.6215,78.6215,78.6215,78.6215,78.6215,78.6215,78.6215,78.6215
136,"CYM","Cayman Islands",64.3177,64.3177,64.3177,64.3177,64.3177,64.3177,64.3177,64.3177,64.3177,64.3177,64.3177,64.3177,64.3177,64.3177,64.3177,64.3177,64.3177,64.3177,64.3177,64.3177,64.3177,64.3177,64.3177,64.3177,64.3177,64.3177,64.3177,64.3177
140,"CAF","Central African Republic",63.4549,63.4549,63.4549,63.4549,63.4549,63.4549,63.4549,63.4549,63.4549,63.4549,63.4549,63.4549,63.4549,63.4549,63.4549,63.4549,63.4549,63.4549,63.4549,63.4549,63.4549,63.4549,63.4549,63.4549,63.4549,63.4549,63.4549,63.4549
148,"TCD","Chad",52.2469,52.2469,52.2469,52.2469,52.2469,52.2469,52.2469,52.2469,52.2469,52.2469,52.2469,52.2469,52.2469,52.2469,52.2469,52.2469,52.2469,52.2469,52.2469,52.2469,52.2469,52.2469,52.2469,52.2469,52.2469,52.2469,52.2469,52.2469
152,"CHL","Chile",64.5472,64.5472,64.5472,64.5472,64.5472,64.5472,64.5472,64.5472,64.5472,64.5472,64.5472,64.5472,64.5472,64.5472,64.5472,64.5472,64.5472,64.5472,64.5472,64.5472,64.5472,64.5472,64.5472,64.5472,64.5472,64.5472,64.5472,64.5472
156,"CHN","China",43.6888,43.6888,43.6888,43.6888,43.6888,43.6888,43.6888,43.6888,43.6888,43.6888,43.6888,43.6888,43.6888,43.6888,43.6888,43.6888,43.6888,43.6888,43.6888,43.6888,43.6888,43.6888,43.6888,43.6888,43.6888,43.6888,43.6888,43.6888
170,"COL","Colombia",55.7701,55.7701,55.7701,55.7701,55.7701,55.7701,55.7701,55.7701,55.7701,55.7701,55.7701,55.7701,55.7701,55.7701,55.7701,55.7701,55.7701,55.7701,55.7701,55.7701,55.7701,55.7701,55.7701,55.7701,55.7701,55.7701,55.7701,55.7701
174,"COM","Comoros",50.1021,50.1021,50.1021,50.1021,50.1021,50.1021,50.1021,50.1021,50.1021,50.1021,50.1021,50.1021,50.1021,50.1021,50.1021,50.1021,50.1021,50.1021,50.1021,50.1021,50.1021,50.1021,50.1021,50.1021,50.1021,50.1021,50.1021,50.1021
184,"COK","Cook Islands",35.6477,35.6477,35.6477,35.6477,35.6477,35.6477,35.6477,35.6477,35.6477,35.6477,35.6477,35.6477,35.6477,35.6477,35.6477,35.6477,35.6477,35.6477,35.6477,35.6477,35.6477,35.6477,35.6477,35.6477,35.6477,35.6477,35.6477,35.6477
188,"CRI","Costa Rica",41.3169,41.3169,41.3169,41.3169,41.3169,41.3169,41.3169,41.3169,41.3169,41.3169,41.3169,41.3169,41.3169,41.3169,41.3169,41.3169,41.3169,41.3169,41.3169,41.3169,41.3169,41.3169,41.3169,41.3169,41.3169,41.3169,41.3169,41.3169
384,"CIV","Cote d'Ivoire",40.8643,40.8643,40.8643,40.8643,40.8643,40.8643,40.8643,40.8643,40.8643,40.8643,40.8643,40.8643,40.8643,40.8643,40.8643,40.8643,40.8643,40.8643,40.8643,40.8643,40.8643,40.8643,40.8643,40.8643,40.8643,40.8643,40.8643,40.8643
191,"HRV","Croatia",33.5002,33.5002,33.5002,33.5002,33.5002,33.5002,33.5002,33.5002,33.5002,33.5002,33.5002,33.5002,33.5002,33.5002,33.5002,33.5002,33.5002,33.5002,33.5002,33.5002,33.5002,33.5002,33.5002,33.5002,33.5002,33.5002,33.5002,33.5002
192,"CUB","Cuba",38.1066,38.1066,38.1066,38.1066,38.1066,38.1066,38.1066,38.1066,38.1066,38.1066,38.1066,38.1066,38.1066,38.1066,38.1066,38.1066,38.1066,38.1066,38.1066,38.1066,38.1066,38.1066,38.1066,38.1066,38.1066,38.1066,38.1066,38.1066
531,"CUW","Curacao",48.8803,48.8803,48.8803,48.8803,48.8803,48.8803,48.8803,48.8803,48.8803,48.8803,48.8803,48.8803,48.8803,48.8803,48.8803,48.8803,48.8803,48.8803,48.8803,48.8803,48.8803,48.8803,48.8803,48.8803,48.8803,48.8803,48.8803,48.8803
196,"CYP","Cyprus",35.507,35.507,35.507,35.507,35.507,35.507,35.507,35.507,35.507,35.507,35.507,35.507,35.507,35.507,35.507,35.507,35.507,35.507,35.507,35.507,35.507,35.507,35.507,35.507,35.507,35.507,35.507,35.507
203,"CZE","Czech Republic",38.6149,38.6149,38.6149,38.6149,38.6149,38.6149,38.6149,38.6149,38.6149,38.6149,38.6149,38.6149,38.6149,38.6149,38.6149,38.6149,38.6149,38.6149,38.6149,38.6149,38.6149,38.6149,38.6149,38.6149,38.6149,38.6149,38.6149,38.6149
180,"COD","Dem. Rep. Congo",67.3281,67.3281,67.3281,67.3281,67.3281,67.3281,67.3281,67.3281,67.3281,67.3281,67.3281,67.3281,67.3281,67.3281,67.3281,67.3281,67.3281,67.3281,67.3281,67.3281,67.3281,67.3281,67.3281,67.3281,67.3281,67.3281,67.3281,67.3281
