"code","iso","country","SPU.ind.1995","SPU.ind.1996","SPU.ind.1997","SPU.ind.1998","SPU.ind.1999","SPU.ind.2000","SPU.ind.2001","SPU.ind.2002","SPU.ind.2003","SPU.ind.2004","SPU.ind.2005","SPU.ind.2006","SPU.ind.2007","SPU.ind.2008","SPU.ind.2009","SPU.ind.2010","SPU.ind.2011","SPU.ind.2012","SPU.ind.2013","SPU.ind.2014","SPU.ind.2015","SPU.ind.2016","SPU.ind.2017","SPU.ind.2018","SPU.ind.2019","SPU.ind.2020","SPU.ind.2021","SPU.ind.2022"
156,"CHN","China",35.3333333333333,35.3333333333333,35.3333333333333,35.3333333333333,35.3333333333333,35.3333333333333,35.3333333333333,35.3333333333333,35.3333333333333,35.3333333333333,35.3333333333333,35.3333333333333,35.3333333333333,35.3333333333333,35.3333333333333,35.3333333333333,35.3333333333333,35.3333333333333,35.3333333333333,35.3333333333333,35.3333333333333,35.3333333333333,35.3333333333333,35.3333333333333,35.3333333333333,35.3333333333333,35.3333333333333,35.3333333333333
170,"COL","Colombia",40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
174,"COM","Comoros",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
184,"COK","Cook Islands",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
188,"CRI","Costa Rica",24.2222222222222,24.2222222222222,24.2222222222222,24.2222222222222,24.2222222222222,24.2222222222222,24.2222222222222,24.2222222222222,24.2222222222222,24.2222222222222,24.2222222222222,24.2222222222222,24.2222222222222,24.2222222222222,24.2222222222222,24.2222222222222,24.2222222222222,24.2222222222222,24.2222222222222,24.2222222222222,24.2222222222222,24.2222222222222,24.2222222222222,24.2222222222222,24.2222222222222,24.2222222222222,24.2222222222222,24.2222222222222
384,"CIV","Cote d'Ivoire",7.33333333333333,7.33333333333333,7.33333333333333,7.33333333333333,7.33333333333333,7.33333333333333,7.33333333333333,7.33333333333333,7.33333333333333,7.33333333333333,7.33333333333333,7.33333333333333,7.33333333333333,7.33333333333333,7.33333333333333,7.33333333333333,7.33333333333333,7.33333333333333,7.33333333333333,7.33333333333333,7.33333333333333,7.33333333333333,7.33333333333333,7.33333333333333,7.33333333333333,7.33333333333333,7.33333333333333,7.33333333333333
191,"HRV","Croatia",72.4444444444444,72.4444444444444,72.4444444444444,72.4444444444444,72.4444444444444,72.4444444444444,72.4444444444444,72.4444444444444,72.4444444444444,72.4444444444444,72.4444444444444,72.4444444444444,72.4444444444444,72.4444444444444,72.4444444444444,72.4444444444444,72.4444444444444,72.4444444444444,72.4444444444444,72.4444444444444,72.4444444444444,72.4444444444444,72.4444444444444,72.4444444444444,72.4444444444444,72.4444444444444,72.4444444444444,72.4444444444444
192,"CUB","Cuba",24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
531,"CUW","Curacao",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
196,"CYP","Cyprus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203,"CZE","Czech Republic",16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
180,"COD","Dem. Rep. Congo",21.1111111111111,21.1111111111111,21.1111111111111,21.1111111111111,21.1111111111111,21.1111111111111,21.1111111111111,21.1111111111111,21.1111111111111,21.1111111111111,21.1111111111111,21.1111111111111,21.1111111111111,21.1111111111111,21.1111111111111,21.1111111111111,21.1111111111111,21.1111111111111,21.1111111111111,21.1111111111111,21.1111111111111,21.1111111111111,21.1111111111111,21.1111111111111,21.1111111111111,21.1111111111111,21.1111111111111,21.1111111111111
208,"DNK","Denmark",78.4444444444444,78.4444444444444,78.4444444444444,78.4444444444444,78.4444444444444,78.4444444444444,78.4444444444444,78.4444444444444,78.4444444444444,78.4444444444444,78.4444444444444,78.4444444444444,78.4444444444444,78.4444444444444,78.4444444444444,78.4444444444444,78.4444444444444,78.4444444444444,78.4444444444444,78.4444444444444,78.4444444444444,78.4444444444444,78.4444444444444,78.4444444444444,78.4444444444444,78.4444444444444,78.4444444444444,78.4444444444444
262,"DJI","Djibouti",82.2222222222222,82.2222222222222,82.2222222222222,82.2222222222222,82.2222222222222,82.2222222222222,82.2222222222222,82.2222222222222,82.2222222222222,82.2222222222222,82.2222222222222,82.2222222222222,82.2222222222222,82.2222222222222,82.2222222222222,82.2222222222222,82.2222222222222,82.2222222222222,82.2222222222222,82.2222222222222,82.2222222222222,82.2222222222222,82.2222222222222,82.2222222222222,82.2222222222222,82.2222222222222,82.2222222222222,82.2222222222222
212,"DMA","Dominica",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
214,"DOM","Dominican Republic",22.4444444444444,22.4444444444444,22.4444444444444,22.4444444444444,22.4444444444444,22.4444444444444,22.4444444444444,22.4444444444444,22.4444444444444,22.4444444444444,22.4444444444444,22.4444444444444,22.4444444444444,22.4444444444444,22.4444444444444,22.4444444444444,22.4444444444444,22.4444444444444,22.4444444444444,22.4444444444444,22.4444444444444,22.4444444444444,22.4444444444444,22.4444444444444,22.4444444444444,22.4444444444444,22.4444444444444,22.4444444444444
218,"ECU","Ecuador",17.1111111111111,17.1111111111111,17.1111111111111,17.1111111111111,17.1111111111111,17.1111111111111,17.1111111111111,17.1111111111111,17.1111111111111,17.1111111111111,17.1111111111111,17.1111111111111,17.1111111111111,17.1111111111111,17.1111111111111,17.1111111111111,17.1111111111111,17.1111111111111,17.1111111111111,17.1111111111111,17.1111111111111,17.1111111111111,17.1111111111111,17.1111111111111,17.1111111111111,17.1111111111111,17.1111111111111,17.1111111111111
818,"EGY","Egypt",24.2222222222222,24.2222222222222,24.2222222222222,24.2222222222222,24.2222222222222,24.2222222222222,24.2222222222222,24.2222222222222,24.2222222222222,24.2222222222222,24.2222222222222,24.2222222222222,24.2222222222222,24.2222222222222,24.2222222222222,24.2222222222222,24.2222222222222,24.2222222222222,24.2222222222222,24.2222222222222,24.2222222222222,24.2222222222222,24.2222222222222,24.2222222222222,24.2222222222222,24.2222222222222,24.2222222222222,24.2222222222222
222,"SLV","El Salvador",17.3333333333333,17.3333333333333,17.3333333333333,17.3333333333333,17.3333333333333,17.3333333333333,17.3333333333333,17.3333333333333,17.3333333333333,17.3333333333333,17.3333333333333,17.3333333333333,17.3333333333333,17.3333333333333,17.3333333333333,17.3333333333333,17.3333333333333,17.3333333333333,17.3333333333333,17.3333333333333,17.3333333333333,17.3333333333333,17.3333333333333,17.3333333333333,17.3333333333333,17.3333333333333,17.3333333333333,17.3333333333333
226,"GNQ","Equatorial Guinea",22.6666666666667,22.6666666666667,22.6666666666667,22.6666666666667,22.6666666666667,22.6666666666667,22.6666666666667,22.6666666666667,22.6666666666667,22.6666666666667,22.6666666666667,22.6666666666667,22.6666666666667,22.6666666666667,22.6666666666667,22.6666666666667,22.6666666666667,22.6666666666667,22.6666666666667,22.6666666666667,22.6666666666667,22.6666666666667,22.6666666666667,22.6666666666667,22.6666666666667,22.6666666666667,22.6666666666667,22.6666666666667
