"code","iso","country","NDA.ind.1995","NDA.ind.1996","NDA.ind.1997","NDA.ind.1998","NDA.ind.1999","NDA.ind.2000","NDA.ind.2001","NDA.ind.2002","NDA.ind.2003","NDA.ind.2004","NDA.ind.2005","NDA.ind.2006","NDA.ind.2007","NDA.ind.2008","NDA.ind.2009","NDA.ind.2010","NDA.ind.2011","NDA.ind.2012","NDA.ind.2013","NDA.ind.2014","NDA.ind.2015","NDA.ind.2016","NDA.ind.2017","NDA.ind.2018","NDA.ind.2019","NDA.ind.2020","NDA.ind.2021","NDA.ind.2022"
524,"NPL","Nepal",46.7780046108415,46.7780046108415,46.7780046108415,46.7780046108415,46.7780046108415,47.8095021928222,49.7898092373588,55.5793532017861,62.3160715887493,65.7012699406443,67.63921611743,67.5587289314069,66.3587109132848,61.8148116604176,55.2798318274145,48.2870015401579,40.5852022462919,37.1108845699902,33.6145125844663,29.9410765280243,29.7481502713955,29.8466682815298,33.7026853673988,35.8329575233559,38.352266442496,38.352266442496,38.352266442496,38.352266442496
528,"NLD","Netherlands",77.1402779818076,77.1402779818076,77.1402779818076,77.1402779818076,77.1402779818076,86.1069205302658,99.1459627901592,100,98.0195742268094,83.1758766635211,74.8350841032788,58.8657260660539,51.2715641369892,79.2898875564773,100,100,100,100,100,100,91.8859338827062,55.1842619524646,21.52823647516,30.7547580984655,43.1257397204585,43.1257397204585,43.1257397204585,43.1257397204585
540,"NCL","New Caledonia",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
554,"NZL","New Zealand",73.8317544431387,73.8317544431387,73.8317544431387,73.8317544431387,73.8317544431387,72.6300858800718,71.9644664330789,69.1102859920329,66.6737311968818,66.5052934012751,63.5824784687779,64.4561100453489,66.7087300098389,73.9454512131575,81.5524290603755,94.1136451606611,100,98.3804869696091,88.5028498458306,82.4683316358871,74.9550003464774,70.5949470433089,66.2672431986938,64.9377416245405,66.0206802054459,66.0206802054459,66.0206802054459,66.0206802054459
558,"NIC","Nicaragua",72.9607563228058,72.9607563228058,72.9607563228058,72.9607563228058,72.9607563228058,56.0982372780498,56.7629939177037,47.4678568609895,29.3837846741872,22.447710522167,18.2355234969439,23.1367301343988,29.1213255555678,41.311052307833,45.5583113378583,50.0741854083484,51.214271557442,45.4278844626293,38.0781099272988,34.5745675880646,26.57242578996,22.1729049154229,23.4203535293158,31.6853658708725,37.6079117155723,37.6079117155723,37.6079117155723,37.6079117155723
562,"NER","Niger",19.2963172670876,19.2963172670876,19.2963172670876,19.2963172670876,19.2963172670876,19.7924105518676,19.2748971715198,18.7367674323972,18.866400088802,19.5434340050522,18.5824903143798,17.6975706307031,18.0414227555246,16.3228808309336,14.9949084550183,18.8357978758147,22.6327133149027,24.12870696527,24.594084435588,24.5376835644334,23.6821456336579,21.5616798028105,18.5075166372116,13.9756445962995,10.0033681465441,10.0033681465441,10.0033681465441,10.0033681465441
566,"NGA","Nigeria",37.348791666404,37.348791666404,37.348791666404,37.348791666404,37.348791666404,36.600740171647,37.0021751630441,38.6125242419324,38.5280649359103,40.4581050356304,40.4317112874119,41.7090902066651,45.1861547821436,45.7003102793231,49.3814946732668,48.734286167964,47.6939412165826,46.8835422668878,44.0862715000861,43.1639625251087,40.1998922857773,35.1383271395954,32.8462285220304,32.5184417197314,37.9855245160993,37.9855245160993,37.9855245160993,37.9855245160993
570,"NIU","Niue",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
408,"PRK","North Korea",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
807,"MKD","North Macedonia",93.3212227728044,93.3212227728044,93.3212227728044,93.3212227728044,93.3212227728044,98.209556663444,100,100,100,100,100,100,100,87.5096212179106,80.2486896363028,73.5827911095617,73.6135781646432,86.7330581390338,98.5356479184452,91.9422223937951,86.5934693030569,75.8940356091566,70.0067282827511,70.2625389911993,76.1628727547507,76.1628727547507,76.1628727547507,76.1628727547507
578,"NOR","Norway",71.2451980853797,71.2451980853797,71.2451980853797,71.2451980853797,71.2451980853797,68.4265625199892,66.8821451098698,74.7212001934722,78.2797983726547,80.8616446108695,79.6706900383107,84.4691250722551,95.7426650900666,100,100,100,100,100,100,100,83.8322927030085,74.0468306097728,67.4974409947739,66.1838779899849,72.1759668685584,72.1759668685584,72.1759668685584,72.1759668685584
512,"OMN","Oman",22.57645184614,22.57645184614,22.57645184614,22.57645184614,22.57645184614,31.0196765625298,32.4965224914281,33.6355083949854,35.5639896319592,34.4164347623838,31.8427695408689,28.0643224233044,25.404026854197,22.6106196141453,22.4951291505927,24.3925737578564,22.8349856824833,20.901847728407,16.2915835916746,13.1924702081064,11.503328679808,9.52843018887566,9.4560521903702,10.7625199613951,17.1147944995425,17.1147944995425,17.1147944995425,17.1147944995425
586,"PAK","Pakistan",27.3807655178707,27.3807655178707,27.3807655178707,27.3807655178707,27.3807655178707,28.9760135675258,34.2293844565335,36.6150486965562,39.8079094289542,41.8956760836724,37.7302214031334,35.5508872075027,34.7956993589216,35.1959288252497,30.1373139484894,29.6447032218069,31.9515088123486,38.1329785748283,40.8181149691246,44.593088358549,46.1581971114953,44.357277483277,39.7123887335825,36.8064946520001,31.1828509623254,31.1828509623254,31.1828509623254,31.1828509623254
585,"PLW","Palau",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,75.3985919868587,31.2913242251731,0,3.11049129507339,35.2003755993465,58.6891777280919,88.8313940809134,100,100,100,100,100,100
