"code","iso","country","GRL.ind.1995","GRL.ind.1996","GRL.ind.1997","GRL.ind.1998","GRL.ind.1999","GRL.ind.2000","GRL.ind.2001","GRL.ind.2002","GRL.ind.2003","GRL.ind.2004","GRL.ind.2005","GRL.ind.2006","GRL.ind.2007","GRL.ind.2008","GRL.ind.2009","GRL.ind.2010","GRL.ind.2011","GRL.ind.2012","GRL.ind.2013","GRL.ind.2014","GRL.ind.2015","GRL.ind.2016","GRL.ind.2017","GRL.ind.2018","GRL.ind.2019","GRL.ind.2020","GRL.ind.2021","GRL.ind.2022"
380,"ITA","Italy",80.8712017585227,80.8712017585227,80.8712017585227,84.4580868702594,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,71.3481603192664,71.3481603192664,71.3481603192664,60.0304933012791,53.978250412691,50.8196393833116,48.5687862129556,48.5687862129556,51.138435825937,55.3853738845634,65.1138639064052,99.9999999999997,92.2315801142966,53.8886633292423,52.4582968619212,46.9836590657546,46.9836590657546,45.213612467452,45.213612467452,45.213612467452
388,"JAM","Jamaica",61.5793858754085,61.5793858754085,61.5793858754085,66.7047551680471,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,30.821214182226,30.821214182226,30.821214182226,30.821214182226,30.821214182226,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,47.9404664948196,47.9404664948196,46.9083126399939,46.9083126399939,46.9083126399939,70.6679463015355,70.6679463015355,70.6679463015355
392,"JPN","Japan",24.3944498685684,24.3944498685684,24.3944498685684,30.8702060276924,38.0493774305785,38.0493774305785,50.7433014001617,43.5410200765214,43.5410200765214,43.5410200765214,24.4732496354648,21.5168173899613,19.9862809547334,17.3921393850889,15.5057211938813,18.1287389144429,17.6727323217462,18.3477270430138,13.8290085922466,14.6565717551705,15.7327178064053,17.7598118524461,19.1988756840605,39.3990552241742,43.9718670717885,34.4712826983957,34.4712826983957,34.4712826983957
832,"JEY","Jersey",99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997
400,"JOR","Jordan",99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,45.200827352934,45.200827352934,45.200827352934,45.200827352934,45.200827352934,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997
398,"KAZ","Kazakhstan",54.773308224783,54.773308224783,54.773308224783,50.7541049836029,38.4180302491838,29.2117994144804,27.9352043598604,27.7606166444366,28.0198527009955,31.079761124114,43.7347527694936,53.4375638832637,73.5323205293444,99.9999999999997,57.2656770923327,43.5250698396792,42.9055244709349,42.9055244709349,41.2661609795603,43.3016671814894,56.3810860482968,55.6113076136863,45.0629549436466,33.9584807167784,30.2143663477995,30.2196616885957,30.2196616885957,30.2196616885957
404,"KEN","Kenya",98.4545399732626,98.4545399732626,98.4545399732626,98.4545399732626,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,67.8296985241815,67.8296985241815,67.8296985241815,67.8296985241815,67.8296985241815,55.0807932965384,48.1644354319125,47.7191391679291,42.4243434265628,41.2797352233956,38.4553441847516,27.2064001781263,25.4253205072601,25.4253205072601,25.4253205072601
296,"KIR","Kiribati",-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777
689,"XKX","Kosovo",99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,57.21063640865,45.9432873324983,45.9432268971993,40.4899680335166,39.5316726892365,32.9575291499263,32.9669377331859,32.8705400373454,35.1314529136759,35.7478608427076,49.664224300762,62.4235237686717,60.8611934481099,29.9179696029629,29.2182630741627,25.0295535934892,24.8465684347859,24.373972557452,24.373972557452,24.373972557452
414,"KWT","Kuwait",-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777
