"code","iso","country","TBG.ind.1995","TBG.ind.1996","TBG.ind.1997","TBG.ind.1998","TBG.ind.1999","TBG.ind.2000","TBG.ind.2001","TBG.ind.2002","TBG.ind.2003","TBG.ind.2004","TBG.ind.2005","TBG.ind.2006","TBG.ind.2007","TBG.ind.2008","TBG.ind.2009","TBG.ind.2010","TBG.ind.2011","TBG.ind.2012","TBG.ind.2013","TBG.ind.2014","TBG.ind.2015","TBG.ind.2016","TBG.ind.2017","TBG.ind.2018","TBG.ind.2019","TBG.ind.2020","TBG.ind.2021","TBG.ind.2022"
643,"RUS","Russia",25.2698419666819,27.7114155958419,33.5161097641204,35.6324156828809,36.1903967528914,40.2423030333718,47.459500833007,50.7790744360291,52.9344216775254,54.2576657023421,54.4396518939236,55.012950785757,55.309490779792,55.756221896656,55.892940196793,56.9865512720367,58.3533542702575,58.8832397970653,59.0713856316818,60.0719025133918,60.6088339488824,61.5612672378018,61.5774877530671,62.2971084597059,62.8766715514412,63.1552547663153,63.2381110657412,63.2381110657406
646,"RWA","Rwanda",52.4282547275622,52.4282547275602,52.4282547275604,52.4282547275598,52.4282547275632,52.4282547275631,52.4282547275636,52.4282547275748,52.4282547275706,52.4282547275704,52.4282547275722,53.9391287332264,53.939128733227,53.9391287332242,53.9391287332251,53.9391287332261,53.9391287332278,53.9391288068428,53.9391288068445,53.9391288068467,53.9391288068471,54.644046157078,54.6440461570757,54.644046157078,54.6440461570797,54.6440461570789,54.6440461570783,54.6440461570783
652,"BLM","Saint Barthelemy",5.64431857248143,5.64431857248143,5.64431875099629,5.64431875099629,5.64431875099629,5.64431875099629,5.64431875099629,5.64431875099629,5.64431875099629,5.64431875099629,5.64431875099629,5.64431875099629,5.64431875099629,5.95291812594194,5.95291812594194,5.95291812594194,5.95291792821165,5.95291792821165,5.95291792821165,5.95291792821165,5.95291792821165,5.95291792821165,5.95291792821165,5.95291792821165,5.95291792821165,5.95291792821165,5.95291792821165,5.95291792821165
659,"KNA","Saint Kitts and Nevis",1.49967582934776,1.49967582934791,1.49967582934788,1.49967582934785,1.4996758293479,1.49967582934793,1.49967582934766,1.49967582934771,1.49967582934754,1.49967582934767,1.4996758293476,1.49967582934757,12.1092492536906,12.1092492536892,12.1092492536789,12.1092492536784,12.1092492536758,18.5092343632491,18.5092343632432,18.5092343632413,18.9405530758247,18.9405530758245,18.9405530758236,18.940553075824,18.9405530758238,18.9405530758239,18.9405530758239,18.9405530758239
662,"LCA","Saint Lucia",24.4656245678714,24.4656245678564,24.4656245678499,24.4656245678588,24.4656245678578,24.4656245678509,24.4656245678472,24.4656245678457,24.4656245678124,24.4656245678111,24.4656245677921,24.4656245677899,24.4656245677864,29.5380398850842,29.538039885078,29.5380398850784,29.5380398850752,29.5380398851993,29.5380398852003,29.5380398851992,29.5380398852046,29.5380398852052,29.5380398852159,29.5380398852301,29.5380398852308,29.5380398852388,29.5380398852386,29.5380398852383
670,"VCT","Saint Vincent and the Grenadines",63.6750805158112,63.6750805158247,63.67508051582,63.6750805158188,63.6750805158235,63.6750805158253,63.6750805157976,63.6750805158018,63.67508051578,63.6750805157929,63.6750805157829,63.6750805157794,63.6750805157812,63.6750805157812,63.6750805158018,63.6750805158029,63.6750805158082,63.67508051581,63.6750805158235,63.6750805158276,63.6750805158347,63.6750805158353,63.6750805158394,63.6750805158406,63.6750805158412,63.6750805158423,63.6750805158423,63.6750805158423
882,"WSM","Samoa",14.5900753897883,14.5900753897883,14.7089621336576,14.9344864142665,15.103615026274,16.8354946641338,16.874208025793,16.8923764989763,16.8966120873765,17.8615438089227,30.1303767086298,30.1303767086298,30.1953872618535,30.2241745942774,45.5829958726286,45.5829958726286,45.5829958726286,45.5841865655301,45.5841865655301,45.5841865655301,45.5841865655301,45.6269839982904,45.6468117390981,45.6468117390981,45.6468117390981,45.6468117390981,45.6468117390981,45.6468117390981
674,"SMR","San Marino",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
678,"STP","Sao Tome and Principe",0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
682,"SAU","Saudi Arabia",23.5740903654636,27.9071722021288,27.9071722021288,27.9071722021288,27.9071722021288,27.9071722021288,27.9071722021288,27.9251855543005,27.9487329986876,27.9487329986876,27.9487329986876,28.0100477162358,28.0100477162358,28.0100477162358,28.0100477162358,28.0100477162358,28.0100477162358,28.0100477165297,28.0100477165297,28.0100477165297,28.0100477165297,28.0100477165297,28.0100477165297,28.0100477165297,28.0100477165297,28.0100477165297,28.0100477165297,28.0100477165297
686,"SEN","Senegal",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
688,"SRB","Serbia",31.8811359341079,31.8811359341079,31.8811359341079,31.8811359341079,31.8811359341079,31.8811359341079,31.8811359341079,31.8811359341079,31.8811359341079,31.8811359341079,31.8811359341079,31.8811359341079,31.8811359341079,32.8311635859203,37.2935784105889,37.3362512692182,37.3444022778394,37.3463434880246,37.7890611436723,38.3716926593028,40.9093607923572,42.5575989745198,42.5841919895896,48.939395612165,50.1737660859178,50.9121458085662,50.9340845028321,50.9340845028321
690,"SYC","Seychelles",73.8065501265082,73.8065501265106,73.8065501275012,73.8065501275018,73.8065501275023,73.8065501274994,73.8065501274765,73.8065501274847,73.8065501274694,73.8065501274729,73.8065501263947,73.8065501263935,73.8065501263924,73.8065501263571,73.8065501263594,73.80655012636,100,100,100,100,100,100,100,100,100,100,100,100
694,"SLE","Sierra Leone",6.50035666712659,7.922673700136,7.92267370015912,7.92267370017518,7.92267370014412,17.5257304842906,17.5257304844308,17.5257304844036,17.5257304844902,17.525730484423,17.5257304844611,17.5257304844763,17.5257304844658,17.5257304844526,17.5257304843415,17.5257304843362,18.4238852467051,18.423885227704,95.9999649775412,95.9999649775547,95.9999649775729,95.9999649775747,95.9999649775812,95.9999649775794,95.9999649775812,95.99996497758,95.99996497758,95.99996497758
