"code","iso","country","FTD.ind.1995","FTD.ind.1996","FTD.ind.1997","FTD.ind.1998","FTD.ind.1999","FTD.ind.2000","FTD.ind.2001","FTD.ind.2002","FTD.ind.2003","FTD.ind.2004","FTD.ind.2005","FTD.ind.2006","FTD.ind.2007","FTD.ind.2008","FTD.ind.2009","FTD.ind.2010","FTD.ind.2011","FTD.ind.2012","FTD.ind.2013","FTD.ind.2014","FTD.ind.2015","FTD.ind.2016","FTD.ind.2017","FTD.ind.2018","FTD.ind.2019","FTD.ind.2020","FTD.ind.2021","FTD.ind.2022"
76,"BRA","Brazil",11.6228516819648,13.0171801609073,13.7688569365783,12.5419644211739,12.8891247848969,11.3984309045753,12.3819227369967,11.6929452469902,12.1250470024278,12.9450917172269,12.8310263901513,12.4866933901206,11.8968007514538,12.297880794275,12.9037997742093,12.9007565457688,11.2636509992056,12.2847605952464,12.4776426815666,11.7158508215374,11.846444649831,11.6834173705029,11.9961570172079,11.6933710881369,11.6933710881369,11.6933710881369,11.6933710881369,11.6933710881369
92,"VGB","British Virgin Islands",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
96,"BRN","Brunei Darussalam",3.4428375544735,2.69690404288916,1.71699527068448,3.3473119437664,5.00995068901844,3.00032419128871,4.7215770801926,7.40391929332201,7.4760217773989,7.90565314317037,7.55449638032927,8.70202137193054,6.8201388493482,6.85497982285885,7.58489927398315,5.58703319175738,6.15734777811774,6.15255924478393,6.16139167288445,6.07548063431275,7.69170582805567,6.11281830007157,5.79964730205565,6.79811487676945,6.79811487676945,6.79811487676945,6.79811487676945,6.79811487676945
100,"BGR","Bulgaria",1.45814913409197,1.67710067015757,1.57527277492746,2.78546593973405,1.67578621526313,1.69693752696566,0.894803052587093,4.39281404776334,3.48320889936335,2.55006973015941,2.39221906708137,2.21171336370762,0.760327161289098,1.65486871090246,2.39627134682944,2.93551290410946,4.22513797292078,3.22829136210406,2.80366150496458,2.28009855214084,1.32481951058452,1.29948280838447,1.24029350035458,2.63001585234747,2.63001585234747,2.63001585234747,2.63001585234747,2.63001585234747
854,"BFA","Burkina Faso",-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777
108,"BDI","Burundi",-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777
132,"CPV","Cabo Verde",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
116,"KHM","Cambodia",4.57810325858568,4.40453240084449,4.26077378011941,4.60203239115769,3.85535864681097,3.86705807339149,3.29814588412218,3.17386401825138,2.99666938767173,3.05506681035894,2.78761070090995,2.75601065156616,2.74361846054843,3.2122213750055,2.78860715427764,2.78030946702764,2.9107433501048,2.84796185041903,2.82152278776236,2.45610426627387,2.69690230890957,2.69185977400286,2.69946023976036,0.407731179679047,0.407731179679047,0.407731179679047,0.407731179679047,0.407731179679047
120,"CMR","Cameroon",11.0534199876141,11.5159376742854,11.6907491583972,11.4218533107447,11.7039712005336,11.5164626199077,13.1680472096225,12.7857177584678,14.0991516306481,13.888147154292,14.4183204365364,16.4908122094475,13.3964334861868,12.8160863714314,15.6493160818873,16.5396475707742,16.7206779626459,16.8101694588841,16.8935445981428,17.1030833093197,17.3523105484662,14.1357048330321,14.315468514002,14.5611608071523,14.5611608071523,14.5611608071523,14.5611608071523,14.5611608071523
124,"CAN","Canada",8.2983404235831,8.77582265735809,8.54848801289637,9.16600329326972,9.00312843040906,8.2169667244728,8.29827368700326,8.3059784845823,8.40454223544893,9.27300800399448,9.22679909747004,9.33367067461459,9.62546781552821,9.22210253149241,9.2145970180884,10.2953443425659,9.88469541714319,9.83863307385934,9.8734054336358,9.28216497457959,8.32940486431013,7.48824035696818,6.74187453034247,7.95634030453495,7.95634030453495,7.95634030453495,7.95634030453495,7.95634030453495
136,"CYM","Cayman Islands",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
140,"CAF","Central African Republic",-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777
