"code","iso","country","WWT.ind.1995","WWT.ind.1996","WWT.ind.1997","WWT.ind.1998","WWT.ind.1999","WWT.ind.2000","WWT.ind.2001","WWT.ind.2002","WWT.ind.2003","WWT.ind.2004","WWT.ind.2005","WWT.ind.2006","WWT.ind.2007","WWT.ind.2008","WWT.ind.2009","WWT.ind.2010","WWT.ind.2011","WWT.ind.2012","WWT.ind.2013","WWT.ind.2014","WWT.ind.2015","WWT.ind.2016","WWT.ind.2017","WWT.ind.2018","WWT.ind.2019","WWT.ind.2020","WWT.ind.2021","WWT.ind.2022"
100,"BGR","Bulgaria",13.92,13.92,13.92,13.92,13.92,13.92,13.92,13.92,13.92,13.92,13.92,13.92,13.92,13.92,13.92,13.92,13.92,13.92,13.92,13.92,13.92,13.92,13.92,13.92,13.92,13.92,13.92,13.92
854,"BFA","Burkina Faso",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,"BDI","Burundi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,"CPV","Cabo Verde",24.7,24.7,24.7,24.7,24.7,24.7,24.7,24.7,24.7,24.7,24.7,24.7,24.7,24.7,24.7,24.7,24.7,24.7,24.7,24.7,24.7,24.7,24.7,24.7,24.7,24.7,24.7,24.7
116,"KHM","Cambodia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,"CMR","Cameroon",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,"CAN","Canada",67.44,67.44,67.44,67.44,67.44,67.44,67.44,67.44,67.44,67.44,67.44,67.44,67.44,67.44,67.44,67.44,67.44,67.44,67.44,67.44,67.44,67.44,67.44,67.44,67.44,67.44,67.44,67.44
136,"CYM","Cayman Islands",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
140,"CAF","Central African Republic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,"TCD","Chad",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,"CHL","Chile",71.856,71.856,71.856,71.856,71.856,71.856,71.856,71.856,71.856,71.856,71.856,71.856,71.856,71.856,71.856,71.856,71.856,71.856,71.856,71.856,71.856,71.856,71.856,71.856,71.856,71.856,71.856,71.856
156,"CHN","China",9.36,9.36,9.36,9.36,9.36,9.36,9.36,9.36,9.36,9.36,9.36,9.36,9.36,9.36,9.36,9.36,9.36,9.36,9.36,9.36,9.36,9.36,9.36,9.36,9.36,9.36,9.36,9.36
170,"COL","Colombia",25.872,25.872,25.872,25.872,25.872,25.872,25.872,25.872,25.872,25.872,25.872,25.872,25.872,25.872,25.872,25.872,25.872,25.872,25.872,25.872,25.872,25.872,25.872,25.872,25.872,25.872,25.872,25.872
174,"COM","Comoros",10.0617833154652,10.0617833154652,10.0617833154652,10.0617833154652,10.0617833154652,10.0617833154652,10.0617833154652,10.0617833154652,10.0617833154652,10.0617833154652,10.0617833154652,10.0617833154652,10.0617833154652,10.0617833154652,10.0617833154652,10.0617833154652,10.0617833154652,10.0617833154652,10.0617833154652,10.0617833154652,10.0617833154652,10.0617833154652,10.0617833154652,10.0617833154652,10.0617833154652,10.0617833154652,10.0617833154652,10.0617833154652
184,"COK","Cook Islands",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
188,"CRI","Costa Rica",7.1744,7.1744,7.1744,7.1744,7.1744,7.1744,7.1744,7.1744,7.1744,7.1744,7.1744,7.1744,7.1744,7.1744,7.1744,7.1744,7.1744,7.1744,7.1744,7.1744,7.1744,7.1744,7.1744,7.1744,7.1744,7.1744,7.1744,7.1744
384,"CIV","Cote d'Ivoire",1.15875231398336,1.15875231398336,1.15875231398336,1.15875231398336,1.15875231398336,1.15875231398336,1.15875231398336,1.15875231398336,1.15875231398336,1.15875231398336,1.15875231398336,1.15875231398336,1.15875231398336,1.15875231398336,1.15875231398336,1.15875231398336,1.15875231398336,1.15875231398336,1.15875231398336,1.15875231398336,1.15875231398336,1.15875231398336,1.15875231398336,1.15875231398336,1.15875231398336,1.15875231398336,1.15875231398336,1.15875231398336
191,"HRV","Croatia",68.992,68.992,68.992,68.992,68.992,68.992,68.992,68.992,68.992,68.992,68.992,68.992,68.992,68.992,68.992,68.992,68.992,68.992,68.992,68.992,68.992,68.992,68.992,68.992,68.992,68.992,68.992,68.992
192,"CUB","Cuba",1.695,1.695,1.695,1.695,1.695,1.695,1.695,1.695,1.695,1.695,1.695,1.695,1.695,1.695,1.695,1.695,1.695,1.695,1.695,1.695,1.695,1.695,1.695,1.695,1.695,1.695,1.695,1.695
531,"CUW","Curacao",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
196,"CYP","Cyprus",50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
203,"CZE","Czech Republic",61.5,61.5,61.5,61.5,61.5,61.5,61.5,61.5,61.5,61.5,61.5,61.5,61.5,61.5,61.5,61.5,61.5,61.5,61.5,61.5,61.5,61.5,61.5,61.5,61.5,61.5,61.5,61.5
180,"COD","Dem. Rep. Congo",0.148334047969916,0.148334047969916,0.148334047969916,0.148334047969916,0.148334047969916,0.148334047969916,0.148334047969916,0.148334047969916,0.148334047969916,0.148334047969916,0.148334047969916,0.148334047969916,0.148334047969916,0.148334047969916,0.148334047969916,0.148334047969916,0.148334047969916,0.148334047969916,0.148334047969916,0.148334047969916,0.148334047969916,0.148334047969916,0.148334047969916,0.148334047969916,0.148334047969916,0.148334047969916,0.148334047969916,0.148334047969916
208,"DNK","Denmark",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
262,"DJI","Djibouti",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212,"DMA","Dominica",0.913580605354056,0.913580605354056,0.913580605354056,0.913580605354056,0.913580605354056,0.913580605354056,0.913580605354056,0.913580605354056,0.913580605354056,0.913580605354056,0.913580605354056,0.913580605354056,0.913580605354056,0.913580605354056,0.913580605354056,0.913580605354056,0.913580605354056,0.913580605354056,0.913580605354056,0.913580605354056,0.913580605354056,0.913580605354056,0.913580605354056,0.913580605354056,0.913580605354056,0.913580605354056,0.913580605354056,0.913580605354056
214,"DOM","Dominican Republic",5.844,5.844,5.844,5.844,5.844,5.844,5.844,5.844,5.844,5.844,5.844,5.844,5.844,5.844,5.844,5.844,5.844,5.844,5.844,5.844,5.844,5.844,5.844,5.844,5.844,5.844,5.844,5.844
218,"ECU","Ecuador",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
818,"EGY","Egypt",41.958,41.958,41.958,41.958,41.958,41.958,41.958,41.958,41.958,41.958,41.958,41.958,41.958,41.958,41.958,41.958,41.958,41.958,41.958,41.958,41.958,41.958,41.958,41.958,41.958,41.958,41.958,41.958
222,"SLV","El Salvador",0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07
226,"GNQ","Equatorial Guinea",1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25
232,"ERI","Eritrea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
233,"EST","Estonia",70.4,70.4,70.4,70.4,70.4,70.4,70.4,70.4,70.4,70.4,70.4,70.4,70.4,70.4,70.4,70.4,70.4,70.4,70.4,70.4,70.4,70.4,70.4,70.4,70.4,70.4,70.4,70.4
748,"SWZ","Eswatini",70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70
231,"ETH","Ethiopia",0.0781314967960089,0.0781314967960089,0.0781314967960089,0.0781314967960089,0.0781314967960089,0.0781314967960089,0.0781314967960089,0.0781314967960089,0.0781314967960089,0.0781314967960089,0.0781314967960089,0.0781314967960089,0.0781314967960089,0.0781314967960089,0.0781314967960089,0.0781314967960089,0.0781314967960089,0.0781314967960089,0.0781314967960089,0.0781314967960089,0.0781314967960089,0.0781314967960089,0.0781314967960089,0.0781314967960089,0.0781314967960089,0.0781314967960089,0.0781314967960089,0.0781314967960089
234,"FRO","Faeroe Islands",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
