"code","iso","country","MPA.ind.1995","MPA.ind.1996","MPA.ind.1997","MPA.ind.1998","MPA.ind.1999","MPA.ind.2000","MPA.ind.2001","MPA.ind.2002","MPA.ind.2003","MPA.ind.2004","MPA.ind.2005","MPA.ind.2006","MPA.ind.2007","MPA.ind.2008","MPA.ind.2009","MPA.ind.2010","MPA.ind.2011","MPA.ind.2012","MPA.ind.2013","MPA.ind.2014","MPA.ind.2015","MPA.ind.2016","MPA.ind.2017","MPA.ind.2018","MPA.ind.2019","MPA.ind.2020","MPA.ind.2021","MPA.ind.2022"
372,"IRL","Ireland",4.12306562846825,4.44502458291003,4.49824317581286,4.49824317581286,4.50680298979524,4.50680298979524,4.50680298979524,4.50680298979524,4.51206080054408,4.51206080054966,4.78017904394877,4.78871462678915,4.79192760189134,4.797284901302,4.80129227874178,11.3046433738256,11.3074432713051,11.3777969090886,11.3777969090886,11.3777969090886,11.3777969090886,11.3777969090886,17.3207127619224,18.1609573378296,18.4514844818885,21.3339579775886,21.3344668829828,21.3344668829828
833,"IMN","Isle of Man",-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777
376,"ISR","Israel",0.0120800255216711,0.0120800255216711,0.0120800255216711,0.0120800255216711,0.0120800255216711,0.0120800255216711,0.0120800255216711,0.0120800255216711,0.195302721871014,0.195302721871014,0.195302721871014,0.195302721871014,0.195302721871014,0.195302721871014,0.261440428105402,0.305874935975998,0.305874935975998,0.305874935975998,0.305874935975998,0.305874935975998,0.305874935975998,0.305874935975998,0.305874935975998,0.305874935975998,0.305874935975998,0.305874935975998,0.305874935975998,0.305874935975998
380,"ITA","Italy",17.4062022022052,17.4069975454001,17.7007732197701,18.4123546639076,20.562593640883,50.1886272119689,50.2144231159363,50.214423115937,50.472434572067,50.4724345720714,50.9371160704725,58.1329325267961,62.3156454784712,62.4455779460827,62.4455779460827,62.6947825678974,62.694782567896,62.6947825678968,62.6947825678974,62.6947825678975,62.694782567887,62.822156976339,62.9314971218333,63.7666435927205,64.7044437695849,66.099587353504,66.6757971773516,66.6757971773516
388,"JAM","Jamaica",0.0470285175434243,0.0470285175434243,0.510693461729159,0.510693461729159,1.36128696969539,1.36128696969539,1.36128696969539,1.36128696969539,1.36128696969539,1.36128696969539,1.36128696969539,1.41087292849138,1.41087292849138,1.41087292849138,1.41087292849138,1.5221590791594,1.52497911235206,1.52497911235206,1.52497911235206,1.52497911235206,1.52497911235206,1.52497911235206,1.52497911235206,1.52497911235206,1.52497911235206,1.52497911235206,1.52497911235206,1.52497911235206
392,"JPN","Japan",62.9738980655388,62.9738980655388,62.9738980655377,62.9766991306047,62.976862684914,62.9768626849134,62.9768626849134,62.9768626849134,62.9802176424671,63.0797695498201,63.0797695498276,63.1071175803073,63.1076183380801,63.1076183256851,63.1081818124635,63.1096865056753,63.1139088353968,63.1139229048998,63.1743145574041,70.9663170214216,71.5618422804735,71.5733776776124,71.5819345702202,71.582619919515,71.5892403301927,71.5892403302468,100,100
832,"JEY","Jersey",0,0,0,0,0,0,13.7003590073795,13.7003590073795,13.7003590073795,13.7003590073795,13.7003590073795,81.9682788486673,81.9682788486673,81.9682788486673,81.9682788486673,81.9682788486673,81.9682788486673,81.9682788486673,81.9682788486673,81.9682788486673,81.9682788486673,81.9682788486673,81.9682788486673,81.9682788486673,81.9682788486673,81.9682788486673,81.9682788486673,81.9682788486673
400,"JOR","Jordan",-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777
398,"KAZ","Kazakhstan",-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777
404,"KEN","Kenya",2.49040681421967,3.1693363366612,3.1693363366612,3.1693363366612,3.1693363366612,3.1693363366612,3.1693363366612,3.1693363366612,3.1693363366612,3.1693363366612,3.18889471094702,3.19019580890396,3.19019580890396,3.19019580890396,3.19019580890396,3.2071104146523,3.2071104146523,3.22292924065664,3.68221893616863,3.68221893616863,3.68221893616863,3.68221893616863,3.68221893616863,3.68221893616863,3.68221893616863,3.68221893616863,3.68221893616863,3.68221893616863
