iso,country,PFL.raw.2006,PFL.raw.2007,PFL.raw.2008,PFL.raw.2009,PFL.raw.2010,PFL.raw.2011,PFL.raw.2012,PFL.raw.2013,PFL.raw.2014,PFL.raw.2015,PFL.raw.2016,PFL.raw.2017,PFL.raw.2018,PFL.raw.2019,PFL.raw.2020,PFL.raw.2021,PFL.raw.2022
CAF,Central African Republic,0.000686594849722,0.0007244976757417,0.000786074343293,0.0009157141714024,0.0010700567780331,0.0011737324050853,0.0012383668349927,0.0012706533397191,0.0012724407409053,0.0011071882624454,0.0013958867598639,0.0015225408881831,0.0015567719578774,0.0016272643862419,0.0018901246110828,0.0018787005208698,0.0018189292810276
CHN,China,0.0016948321846749,0.0023502439627946,0.0026365822096608,0.0030811018712755,0.0033174643579233,0.0033433964281219,0.0033891064330016,0.0035609827293517,0.0033132926040636,0.0031424976408297,0.0029904199730092,0.0023534241941609,0.0018800402029359,0.0014460865318254,0.0011574189185667,0.0008698840679808,0.0007723801922705
COL,Colombia,0.0010664156900396,0.0011841485344108,0.001372480343228,0.001314519811708,0.001350428764571,0.0014108687498689,0.0013160911477368,0.0012214810070313,0.001273382018688,0.001203643120751,0.0013349915157181,0.0016722877157394,0.0021078483822126,0.0022358690056843,0.0026625846067042,0.0027356142555377,0.0026133067710036
CRI,Costa Rica,0.0004747210237507,0.0004873285184413,0.0005842857035728,0.0007721615823403,0.000804209153744,0.0008425905677715,0.0008302262508053,0.0007559779232524,0.000615917190604,0.0004967075223999,0.0005752311552083,0.0015096138553808,0.0016372879169172,0.0017004437154202,0.0018428791402447,0.0017726123648608,0.0008927218705986
CIV,Cote d'Ivoire,0.010952178279085,0.0099468440297253,0.0093580330439526,0.0098639952733407,0.0115292310001751,0.0134296680630111,0.0142739345929502,0.0151968161465379,0.0183371578832129,0.0180760788876755,0.016196830254611,0.0158059608030446,0.0168044293626553,0.0132196641425223,0.0128339213741645,0.0113254241673957,0.0095923191288628
COD,Dem. Rep. Congo,0.0012755835924162,0.0012488060931081,0.0013316828217244,0.0015128952204111,0.0017333693512285,0.0017375412123876,0.0018451009679984,0.0022844638538972,0.0027072356356028,0.0028174542380581,0.0034885597383317,0.0039869993704781,0.0042356722103787,0.0043043298239449,0.0046252311378321,0.0046242732309199,0.0047023077416786
DOM,Dominican Republic,0.0047271671742743,0.0050457292497868,0.0057382267788196,0.00556351344737,0.0028503343580397,0.0028798155568784,0.0032665412962946,0.0024492673448416,0.0024185579440177,0.0031398954029467,0.0045821949523684,0.0045860297757819,0.0046054877929234,0.0044602253439168,0.0044785739776703,0.0030435042622854,0.0023700546078588
ECU,Ecuador,0.0005109934467344,0.0005354942350714,0.0006404055723538,0.0006907579119101,0.000733767018406,0.0008229172082455,0.0009990594341165,0.0010486844502064,0.0010151446843615,0.0010147905861439,0.0010528594832498,0.0011419021241521,0.0011725818768024,0.0012836552069629,0.0014958585628379,0.0014821893898073,0.0014808411001084
GNQ,Equatorial Guinea,0.0003535667643143,0.000388197048298,0.0005086462028035,0.0007691866034179,0.000974979955071,0.0012374889703483,0.0013056237009218,0.0014616300073086,0.0021330631361268,0.0022078018323853,0.0023267836528228,0.0026986294626448,0.002696060159336,0.0021261042359313,0.0019414591452532,0.0018229293821429,0.0015943328740646
ETH,Ethiopia,0.0012386292827805,0.0016564919899767,0.0017673646055396,0.0019010113286535,0.0020229799589786,0.0020325004475699,0.0019857538680691,0.0023051419023843,0.0024785768702526,0.002239999072258,0.0022634336534699,0.0025337022530354,0.0022363298034866,0.0024212251633101,0.0027813059337064,0.0029374479763841,0.0025537584400181
GAB,Gabon,0.0003942334415932,0.0004258410907207,0.0004138415436347,0.000467368391987,0.0004269763941052,0.0004110423761224,0.0004015447670287,0.0005470105126138,0.0007003680876666,0.0007848744545515,0.0008748361341898,0.0009931268660269,0.0008735701192369,0.0007382985107818,0.0006925336373073,0.0006040683096726,0.0005299134869468
