iso,country,IFL.raw.2005,IFL.raw.2006,IFL.raw.2007,IFL.raw.2008,IFL.raw.2009,IFL.raw.2010,IFL.raw.2011,IFL.raw.2012,IFL.raw.2013,IFL.raw.2014,IFL.raw.2015,IFL.raw.2016,IFL.raw.2017,IFL.raw.2018,IFL.raw.2019,IFL.raw.2020,IFL.raw.2021,IFL.raw.2022
GUY,Guyana,8.17482874276597e-05,9.62009767114388e-05,0.0001029421519098,0.0001171841778079,0.0001253925183084,0.0001477171602719,0.0001640236876691,0.0002113161216904,0.0002126946306426,0.0002451914594475,0.0002636549892334,0.0003265168687013,0.0003582831819244,0.0003682444371697,0.0003755104164493,0.0003740890764017,0.0003195314599819,0.0002809485540192
HND,Honduras,0.0004135753118092,0.0006657754977297,0.0008560108252543,0.0011970822015247,0.0018842317640873,0.0023714878462285,0.0030344691350867,0.0031691335772292,0.00411529778187,0.0049621534935364,0.0053391218392443,0.0067794703377562,0.0092742334695003,0.0110670683575897,0.0126254318378014,0.0165988599932783,0.0194257363636942,0.0205319337914313
IND,India,0.000315175905707,0.0002718634222364,0.0001936366203773,0.0001385413205518,0.0001341909236493,8.2613609487552e-05,7.18547135058512e-05,7.78622939288143e-05,6.76117533796758e-05,7.39181057999653e-05,7.23870106933882e-05,7.86087062504525e-05,9.31564120845693e-05,9.07208156342202e-05,8.45246609327041e-05,8.38414518159112e-05,7.66240244257508e-05,6.55002255549932e-05
IDN,Indonesia,0.0002493327101526,0.0003034453014949,0.0003460291741156,0.0003448491145142,0.0003635056558245,0.0003856968344104,0.000409994416069,0.0005020413288661,0.0005962992054957,0.0007205052866337,0.0009684456070583,0.0012146021525711,0.0012388725386618,0.0012621228646545,0.0012189225672113,0.0010073101564818,0.0007741329044849,0.0006807903001008
LAO,Laos,0.0006047839847853,0.0011470472345292,0.0014599936231868,0.0016171253590606,0.0022187039832243,0.0027206990453568,0.0024959211796461,0.0025298881083202,0.0028131482101708,0.0035998367750812,0.0047632867530375,0.0057810114741601,0.0062948299409658,0.0066934991671894,0.0063030562269449,0.0055844815715788,0.0050450696543344,0.0048631638306527
LBR,Liberia,0.0003186263843204,0.0002938454071673,0.0001738176410525,0.0001373820850285,0.0001574444279822,0.0001062382179624,0.0001102642341661,0.0001102022046601,0.0002199716511126,0.0002522966906342,0.0002849557638747,0.0003215617400568,0.000377914535809,0.0003345837134319,0.0003663620870242,0.0004165894848012,0.0004265290138662,0.000427161751234
MDG,Madagascar,0.0008872211741679,0.0009790309423991,0.0013154888016916,0.0014577111599386,0.001526122245295,0.0015621785983781,0.0020674743243458,0.0021420354213343,0.0026558257885451,0.0034129647151108,0.0039543703132117,0.0041445200018028,0.0053828659884939,0.0065330106937144,0.0065697637165529,0.0071520000902451,0.0072774903612723,0.0064107737656623
MYS,Malaysia,0.001058034974594,0.0015337694714596,0.0020115843479707,0.002459744565841,0.0028530911755077,0.0029047202436943,0.00277360456944,0.0034989062239564,0.003151368909121,0.0036060649109462,0.0036385078233051,0.0038044916779991,0.0028714245334368,0.0030329303820245,0.0020512249043502,0.0016028312760075,0.0011799283061208,0.0009155940102982
MEX,Mexico,0.0001184640417391,0.0001120303397018,0.0001384655870491,0.00016755148679,0.0002036683793511,0.0002324892979338,0.000261729409074,0.0002959815980105,0.0004922591017531,0.0004715333463346,0.0004992489826556,0.0006119332869809,0.0007324928302579,0.0006511729508897,0.0013385182125057,0.001504021094642,0.001651343125691,0.0016941543314197
MMR,Myanmar,0.000296195377426,0.0003757589986646,0.0004197124273082,0.0004530998287213,0.0004144674325707,0.0004501438953841,0.0004019028094609,0.0004576179637534,0.0005181040687023,0.0006717854483134,0.0007291611406313,0.0009732851669882,0.0010328061170846,0.0010508462492621,0.0009451472960781,0.0009873351193313,0.0008968242128245,0.0008748350104126
NPL,Nepal,0.0003990916262236,0.0004761601756406,0.0006318144099063,0.0006943051725329,0.0009525135815425,0.0008824487012494,0.0008508597686721,0.0009872591725607,0.0009271111889814,0.0005595484476383,0.0005259549936978,0.000577968470775,0.0001259804647559,0.000345333747908,0.000454451209627,0.0003562534084432,0.0003343458934859,0.0004437936319729
NIC,Nicaragua,0.0006993304429794,0.0009550127506906,0.0042775707149859,0.004464196384592,0.0047946353199316,0.0055209117268457,0.0058010609175488,0.0027530779161804,0.00351372396897,0.004964539609072,0.0050300061654357,0.0078703351951431,0.0319034499195626,0.033899940513969,0.0347877818669756,0.0368280261275458,0.036346786000907,0.0141467845388285
NGA,Nigeria,0.000266190940745,0.0003137367433188,0.0002217468147142,0.0002032190280514,0.0002904269463661,0.0003561332110869,0.0003639987391255,0.0004530398942735,0.0005641949130078,0.0006650911386487,0.0005690998174119,0.0006058095010065,0.0010293082516165,0.0016523447062006,0.0021224648922291,0.0031906544706076,0.0043442239614819,0.0048646022690585
